CODIGO ACAO;NOME ACAO;2010;2011;2012;2013;2014;2015
10900000;ADEQUACAO DAS INSTALACOES POLICIAIS MILITARES;0;0;0;0;0;33954223,92
19410000;INFRAESTRUTURA DE PREDIOS JUDICIAIS;0,0;0;55269000,0;29570302,41;121264394,43999998;47556128,489999995
56410000;PERICIAS NA AREA DE MEDICINA LEGAL;5222279,51;5034462,64;5075484,73;7294498,63;4252134,02;6732795,67
59570000;FORMACAO CAPACITACAO SERVIDORES E PARCEIROS;113562288,71000004;179651541,41000023;0,0;0;0;0
48590000;COORDENACAO E ADMINISTRACAO GERAL;800746516,9899958;766639682,9199985;802219228,2200006;879677108,4899919;885027431,8899962;994590004,9400244
41520000;ATEND.MED. POR TERCEIROS/ORGANIZACOES SOCIAIS;0,0;0;0;0;0;0
18250000;REVITALIZACAO DA REDE EXECUTORA;0;0;0;0;0;18302176,71
12180000;IMPLANTACAO CENTROS INTEGRACAO CIDADANIA-CIC;968076,1599999999;6133,28;0,0;182626,83;0,0;0
21450000;SANEBASE-DESENVOLVIMENTO DE SANEAMENTO BASICO;4237241,92;0,0;4248519,989999999;5288666,279999999;8222849,95;0
61600000;ASSISTENCIA MEDICA, HOSP. E AMB. HOSP.UNICAMP;0;0;0;0;387335788,95000005;423303504,67
14300000;CONSTRUCAO,REFORMA FORUNS/ MINISTERIO PUBLICO;48444805,07000001;46731013,22;20820835,99;50587040,190000005;51596604,63999999;0
24710000;PRATICAS MANEJO SOLO MITIGACAO EMIS. CARBONO;0;0;0;0;1243387,2899999993;0,0
44550000;APOIO ADMINISTRATIVO;0;0;0;0;0;384329842,2100002
13770000;CONSTRUCAO REF. AMPL. AREAS FISICAS SEC.SAUDE;122235254,06;149366147,9799999;169295698,99999997;166444908,94999996;251757650,3100001;0
48260000;DISTRIBUICAO DA JUSTICA;5367140686,53999;5942476735,639996;7241106669,2699795;7901861251,949987;8661849566,73002;9689164664,140003
60120000;PAG.PRECATORIOS REG.ESPECIAL-TRANSPORTE;0;0;0;0;0;900,0
60120000;PAG.PRECATORIOS REG.ESP.EM.CONST.-TRANSPORTE;0;1000,0;1000,0;1000,0;1000,0;0
41680000;ADMINISTRACAO GERAL DO CORPO DE BOMBEIROS;3285788,909999997;5485376,110000002;8709926,320000004;11817149,749999983;9446956,90999995;9212093,569999991
60670000;ESTRUTURACAO E MODERNIZACAO DA FISCALIZACAO;0;0;0;0;0;88343,01
51010000;MANUTENCAO DA PROCURADORIA GERAL DO ESTADO;0,0;0,0;0,0;0;0;0
44570000;VIGILANCIA SANITARIA VEGETAL E MEIO AMBIENTE;0;0;0;0;0;41269628,029999875
22830000;EXECUCAO DAS OBRAS DO RODOANEL - TRECHO NORTE;0;0;34422850,0;2012398135,7200005;1200752064,6000001;861830982,1600001
44530000;ASSESSORIA CRIACAO E CONSOLID. ASSOC. E COOP.;0;0;0;0;0;1552970,4799999997
15720000;RENOVACAO E RECUPERACAO DO PARQUE DE MAQUINAS;2772000,0;0;0;0;0;0
60850000;PREVENCAO PROM. SAUDE OCUPACIONAL DO SERVIDOR;0;0;193450,0;580350,0;0,0;0
24940000;CONSTRUCAO E AMPLIACAO DA REDE FISICA ESCOLAR;0;0;0;0;1348409290,6500096;616676522,2599987
51610000;DESENV. ENS. FUND. PROF. MAGISTERIO-FUNDEB;0;0;0;0;0;7115319568,100017
56360000;GESTAO DO ACESSA SP;0;0;0;0;0;14540237,219999999
59320000;GESTAO DE RECURSOS DE TI E COMUNICACAO;0;0;0;0;0;149451823,3200001
15970000;AGUA LIMPA;19496731,459999997;49082906,75;43930003,620000005;64873393,469999984;183820516,32000005;58497171,60999999
57610000;SUPORTE GESTAO DA ESTRATEGIA DA SEC.FAZENDA;129156,25;3827,27;32707171,22;37781470,820000015;35803235,13000003;46646191,83000002
58250000;ATIVIDADES PREV.SIT.DE RISCO PESSOAL E SOCIAL;13822633,68;13822633,68;0,0;0;0;0
51630000;MANUTENCAO DA REDE DE ENSINO MEDIO;164075508,81999987;158347695,85000008;95522125,66000001;133940128,73000002;0,0;0,0
20250000;ADAPTACOES DAS INSTALACOES  SEC. DA CULTURA;484343,36;0,0;0,0;0,0;0;0
61540000;RENDA CIDADA - BENEFICIO IDOSO;0;0;0;0;0;5372067,86
60840000;GESTAO ADMINISTRATIVA;0;0;47570674,529999964;53462009,829999916;48097644,52999999;51216204,08999999
54880000;FISCALIZACAO DO MERCADO DE CONSUMO;166038,24;3079,9;412205,1499999996;371283,1999999997;241301,55000000005;0
55500000;MANUTENCAO E EXPANSAO DA REDE INTRAGOV;1333315,5600000003;1836695,4199999983;3149598,130000003;2938211,8900000043;2168980,6;2390026,96
48600000;ATENDIMENTO MEDICO, AMB. HOSPITALAR PROPRIO;331530776,13999957;357031527,5599997;462551984,9399998;550108011,7699993;617785194,87;0
24860000;PARTICIPACAO DO ESTADO NO PROGR MCMV;0;0;0;0;0;211116972,0
54600000;PRODUCAO TRANSMISSAO-RADIOS,TVS,NOVAS MIDIAS;107162125,38000005;67976781,40000002;81294663,91000019;97282583,75999999;38424002,789999984;84002108,64000005
20760000;UNIVERSIDADE VIRTUAL DO EST.S.PAULO-UNIVESP;23000000,0;19781894,0;21800000,0;0,0;0;0
13070000;JOVEM CIDADAO - MEU PRIMEIRO TRABALHO;6531500,529999999;7026273,67;6340665,97;6373713,8;0,0;0
61230000;MONITORAMENTO E AVALIACAO EM SAUDE;0;0;0;0;73370,29000000001;9421,34
59790000;SISTEMA EST.BIBLIOTECAS PUBLICAS;6753730,0;14346989,31;8693175,17;1341485,3;4431760,0;0
59440000;SUPORTE AS ACOES DA CORREGEDORIA GERAL DA ADM;8301,61;17802,59;11344,4;83551,45000000001;99667,27000000002;20995,29
18980000;ADEQUACAO DO SISTEMA PRISIONAL;24150938,179999992;33176320,679999996;0,0;0,0;0;0
55020000;INCREMENTO DO TURISMO MUNICIPAL;0;0;0;0;0;10226816,790000005
22110000;IMPLANTAÇÃO CENTRO DE REF.EM REFORMA AGRÁRIA;0,0;0;0;0;0;0
