CODIGO ACAO;NOME ACAO;2010;2011;2012;2013;2014;2015
10900000;ADEQUACAO DAS INSTALACOES POLICIAIS MILITARES;0;0;0;0;0;8646537,270000001
19410000;INFRAESTRUTURA DE PREDIOS JUDICIAIS;0,0;0;0,0;0,0;26679591,169999998;51519995,10000001
56410000;PERICIAS NA AREA DE MEDICINA LEGAL;343618,58;151904,12;414026,11;280478,65;301954,2;64936,31
59570000;FORMACAO CAPACITACAO SERVIDORES E PARCEIROS;4426488,649999999;9186288,75;1660398,2299999997;0;0;0
48590000;COORDENACAO E ADMINISTRACAO GERAL;49720532,62000006;49308262,300000004;80580777,68000004;67618733,83999991;125863528,14000018;76064155,7300001
41520000;ATEND.MED. POR TERCEIROS/ORGANIZACOES SOCIAIS;0,0;0;0;0;0;0
18250000;REVITALIZACAO DA REDE EXECUTORA;0;0;0;0;0;11557069,87
12180000;IMPLANTACAO CENTROS INTEGRACAO CIDADANIA-CIC;618280,7300000001;1025596,24;155434,41;0,0;97996,93;0
21450000;SANEBASE-DESENVOLVIMENTO DE SANEAMENTO BASICO;2423639,16;1997659,47;652865,92;1252323,69;4139644,370000001;0
61600000;ASSISTENCIA MEDICA, HOSP. E AMB. HOSP.UNICAMP;0;0;0;0;0,0;33915920,48
14300000;CONSTRUCAO,REFORMA FORUNS/ MINISTERIO PUBLICO;19187870,98;38253874,440000005;31184341,750000015;33498561,08000001;63533101,030000016;0
24710000;PRATICAS MANEJO SOLO MITIGACAO EMIS. CARBONO;0;0;0;0;0,0;208965,15
44550000;APOIO ADMINISTRATIVO;0;0;0;0;0;41947949,54000001
13770000;CONSTRUCAO REF. AMPL. AREAS FISICAS SEC.SAUDE;13626673,749999998;3163244,1799999992;36066080,24999999;85679592,25;85374766,38000001;0
48260000;DISTRIBUICAO DA JUSTICA;416463108,53999984;438340440,44000036;436877222,3600001;601319723,54;739516652,56;817669101,6699988
60120000;PAG.PRECATORIOS REG.ESPECIAL-TRANSPORTE;0;0;0;0;0;0,0
60120000;PAG.PRECATORIOS REG.ESP.EM.CONST.-TRANSPORTE;0;0,0;0,0;0,0;0,0;0
41680000;ADMINISTRACAO GERAL DO CORPO DE BOMBEIROS;1037490,1499999998;1035553,4799999996;2764288,300000001;4069461,029999999;7854524,049999998;5756215,07
60670000;ESTRUTURACAO E MODERNIZACAO DA FISCALIZACAO;0;0;0;0;0;12910,0
51010000;MANUTENCAO DA PROCURADORIA GERAL DO ESTADO;7363464,359999999;0,0;726074,61;0;0;0
44570000;VIGILANCIA SANITARIA VEGETAL E MEIO AMBIENTE;0;0;0;0;0;3763002,9900000007
22830000;EXECUCAO DAS OBRAS DO RODOANEL - TRECHO NORTE;0;0;0,0;18122000,0;234912199,01;140219004,81
44530000;ASSESSORIA CRIACAO E CONSOLID. ASSOC. E COOP.;0;0;0;0;0;113372,9
15720000;RENOVACAO E RECUPERACAO DO PARQUE DE MAQUINAS;0,0;0;0;0;0;0
60850000;PREVENCAO PROM. SAUDE OCUPACIONAL DO SERVIDOR;0;0;0,0;193450,0;193450,0;0
24940000;CONSTRUCAO E AMPLIACAO DA REDE FISICA ESCOLAR;0;0;0;0;0,0;28166855,52999995
51610000;DESENV. ENS. FUND. PROF. MAGISTERIO-FUNDEB;0;0;0;0;0;0,0
56360000;GESTAO DO ACESSA SP;0;0;0;0;0;4102805,7
59320000;GESTAO DE RECURSOS DE TI E COMUNICACAO;0;0;0;0;0;35069407,679999985
15970000;AGUA LIMPA;3054964,63;703259,33;11480300,729999999;16623661,55;29707866,959999993;66509718,24000001
57610000;SUPORTE GESTAO DA ESTRATEGIA DA SEC.FAZENDA;1771,94;9700,48;0,0;4039223,8100000005;5331282,91;2527792,3499999996
58250000;ATIVIDADES PREV.SIT.DE RISCO PESSOAL E SOCIAL;161386,14;1151886,14;1151886,14;0;0;0
