CODIGO ACAO;NOME ACAO;2010;2011;2012;2013;2014;2015
10900000;ADEQUACAO DAS INSTALACOES POLICIAIS MILITARES;0;0;0;0;0;20418423,12
19410000;INFRAESTRUTURA DE PREDIOS JUDICIAIS;0,0;0;0,0;2522010,02;61641190,27;20846625,61
56410000;PERICIAS NA AREA DE MEDICINA LEGAL;5070366,390000001;4620436,529999999;4783747,95;6991201,5600000005;4187197,71;6085002,83
59570000;FORMACAO CAPACITACAO SERVIDORES E PARCEIROS;104159674,89000002;177710605,44000015;0,0;0;0;0
48590000;COORDENACAO E ADMINISTRACAO GERAL;747388746,7999977;680008495,7099992;730304686,9200006;745054147,3299947;802639035,9899957;914054930,090023
41520000;ATEND.MED. POR TERCEIROS/ORGANIZACOES SOCIAIS;0,0;0;0;0;0;0
18250000;REVITALIZACAO DA REDE EXECUTORA;0;0;0;0;0;3729740,87
12180000;IMPLANTACAO CENTROS INTEGRACAO CIDADANIA-CIC;146830,16;6133,28;0,0;84629,9;0,0;0
21450000;SANEBASE-DESENVOLVIMENTO DE SANEAMENTO BASICO;1707108,96;0,0;2121317,47;981882,2199999999;3507795,5899999994;0
61600000;ASSISTENCIA MEDICA, HOSP. E AMB. HOSP.UNICAMP;0;0;0;0;349926196,13;391147789,34
14300000;CONSTRUCAO,REFORMA FORUNS/ MINISTERIO PUBLICO;3752186,1600000006;7857713,840000001;4032206,4000000004;18927641,79000001;23620885,070000004;0
24710000;PRATICAS MANEJO SOLO MITIGACAO EMIS. CARBONO;0;0;0;0;1034312,59;0,0
44550000;APOIO ADMINISTRATIVO;0;0;0;0;0;339664400,01000005
13770000;CONSTRUCAO REF. AMPL. AREAS FISICAS SEC.SAUDE;118169826,27999996;113176520,87;80972631,29;70100456,04000002;233531706,35000002;0
48260000;DISTRIBUICAO DA JUSTICA;4912428354,089997;5479350447,229996;6607292127,179977;7127372454,139991;7797480131,410008;8792346336,940006
60120000;PAG.PRECATORIOS REG.ESPECIAL-TRANSPORTE;0;0;0;0;0;0,0
60120000;PAG.PRECATORIOS REG.ESP.EM.CONST.-TRANSPORTE;0;0,0;0,0;0,0;0,0;0
41680000;ADMINISTRACAO GERAL DO CORPO DE BOMBEIROS;2169426,2299999995;2468315,1400000015;4568282,24;3636329,679999997;3682604,55999998;5695878,340000009
60670000;ESTRUTURACAO E MODERNIZACAO DA FISCALIZACAO;0;0;0;0;0;32858,630000000005
51010000;MANUTENCAO DA PROCURADORIA GERAL DO ESTADO;0,0;0,0;0,0;0;0;0
44570000;VIGILANCIA SANITARIA VEGETAL E MEIO AMBIENTE;0;0;0;0;0;37774493,83999987
