CODIGO ELEMENTO DE DESPESA;NOME ELEMENTO DE DESPESA;2010;2011;2012;2013;2014;2015
339091;SENTENCAS JUDICIAIS;1719461314,6899996;1760744107,8200002;2253343237,340001;2009201367,8800013;1960303088,7399976;1904018134,4600022
339027;ENCARGOS P.HONRA DE AVAIS,GARANTIAS E SEGURO;0;0;0;0;0;117710,49
319059;PENSOES ESPECIAIS;0;0;0;59587716,79999999;57006142,199999996;60059642,09000001
319012;VENCIMENTOS E VANTAGENS FIXAS-PESSOAL MILITA;3482566507,6800003;3948134317,0299997;4578611178,460001;4779845737,900002;5590759432,98;5914079652,63
339136;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;0;0;0;112080,12;930108,0;1033597,9999999999
339147;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS;0;0;0;1055253,7400000002;1237505,0;1274551,0000000002
339035;SERVICOS DE CONSULTORIA;244091667,90999806;243118969,88999948;262085621,33999932;269209356,51000017;255793728,88999984;214104376,03999975
319004;CONTRATACAO POR TEMPO DETERMINADO;0;0;0;206297,0;0,0;5041092,91
449035;SERVICOS DE CONSULTORIA;4005432,0;4719921,999999999;2634929,68;3473372,8600000003;18714216,32;14988232,24
459062;AQUISICAO DE PRODUTOS PARA REVENDA;120950,8;170381,00000000003;423309,7;214950,5;0;0
449151;OBRAS E INSTALACOES;0;0;0;32459691,589999996;256954946,53999996;180076912,66999996
339047;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS;1136866410,4200003;1277532694,669998;1352412806,529999;1377097206,2999985;1438886340,8999968;1478944541,5900002
312041;CONTRIBUICOES;5861,37;0,0;0;19467744,1;23326831,17;23800000,0
339050;SERVICOS DE UTILIDADE PUBLICA;1158742842,54;1242508796,689998;1341022762,960004;1299655422,1499996;1220371339,3599977;1532303669,1499965
339114;DIARIAS - CIVIL;0;0;0;126679,99999999997;651790,0700000001;1051923,0
339030;MATERIAL DE CONSUMO;3753903434,9300966;3727937562,7201376;3611554840,220142;3994589796,7700405;3988675130,120059;3876545609,220059
319149;AUXILIO - TRANSPORTE;0;0;0;473252,0;808122,0;1188520,0
339015;DIARIAS MILITAR;15354586,800000109;15600804,319999987;13971421,770000046;11442662,300000014;76332775,27000034;179637647,50999832
334081;DISTRIBUICAO DE RECEITAS;27837442697,720016;30809808159,059994;33000462293,289997;36546825567,520004;37447276492,86001;40553925503,14999
339036;OUTROS SERVICOS DE TERCEIROS-PESSOA FISICA;728566897,2399952;778102493,9599973;832930570,9700007;882119318,5799952;906466757,2799984;844602523,7999986
339031;PREMIACOES CULTURAIS ART.CIENT.DESPOR. OUTRA;1490685,5599999994;27606982,619999997;29502443,8;33445206,00999998;52591121,59999998;44102767,05000001
449042;AUXILIOS;214440590,58;236998668,95000005;263386697,68000004;405521119,40999997;285727148,24;300404008,00000006
459161;AQUISICAO DE IMOVEIS;15020000,0;0,0;0,0;0;0;0
449036;OUTROS SERVICOS DE TERCEIROS-PESSOA FISICA;0;2304,0;73343,12;67390,83;37241,07;66930,0
339033;PASSAGENS E DESPESAS COM LOCOMOCAO;408662596,50000226;372596029,85999787;610974699,6900002;734220584,4000019;804683119,6899984;898964692,6600003
459051;CLASSIF.DO EXERCICIO ANTERIOR;0,0;0,0;0,0;0,0;0;0
334130;MATERIAL DE CONSUMO;0;0;0;45990303,3500003;69187427,56000099;64988089,710000254
339046;AUXILIO ALIMENTACAO;126425918,89000005;312010005,09000003;508885355,84000003;512158750,25000006;508870303,69;524956448,6700001
329021;JUROS SOBRE A DIVIDA POR CONTRATO;5846517384,18;6524786959,300002;7428395557,949999;8062273456,830001;9034239647,71;8670023429,969997
336045;SUBVENCOES ECONOMICAS;0;0;0;24000000,0;1052611,06;2307501,0
319094;INDENIZACOES E RESTITUICOES TRABALHISTAS;44438118,82000002;62705462,51000019;681252215,4500003;944100489,6900023;929079839,6299983;1272019542,5299997
339135;SERVICOS DE CONSULTORIA;0;0;0;0;1000000,0;0
339108;OUTROS BENEF.ASSIST.DO SERVIDOR E DO MILITAR;0;0;0;29456,510000000002;639318,0;793298,9999999999
335041;CONTRIBUICOES;14393226,87;16874373,89;26431638,760000005;21877434,38;29233280,43;3595508,97
334033;PASSAGENS E DESPESAS COM LOCOMOCAO;0;0;0;220284630,84000003;466187161,53999954;523867229,32999957
339041;CONTRIBUICOES;3298336546,42;3515269132,09;4086798855,8899994;4475842589,61;4661989392,6;5308154039,96
459064;AQUIS.DE TITS.REPR.DE CAP.JA INTEGRALIZADO;0,0;0,0;0;0;0;0
449092;DESPESAS DE EXERCICIOS ANTERIORES;15855292,780000001;7654637,870000001;4152709,4100000006;4935161,559999999;3840072,66;81905083,06
339018;AUXILIO FINANCEIRO A ESTUDANTES;56476654,2199989;88283134,01999986;149142539,85999984;130290020,48999992;153260564,84999996;135486515,71
442042;AUXILIOS;10014997,719999999;115570579,33;431273284,56999993;395334438,0;373377851,02;248320495,0
494031;CLASSIF.DO EXERCICIO ANTERIOR;0,0;0,0;0,0;0;0;0
319011;VENCIMENTOS E VANTAGENS FIXAS-PESSOAL CIVIL;26513245469,11959;28607078385,15011;30660806287,360054;34184109267,06019;36552734182,2202;40145139749,98979
319111;VENCIMENTOS E VANTAGENS FIXAS-PESSOAL CIVIL;0;0;0;607503404,6700002;750564607,4200001;835748423,0000002
444051;OBRAS E INSTALACOES;849069641,7099998;606649204,9699997;1042126869,7000012;891885856,2199996;868767755,4400018;473417820,30000025
339045;SUBVENCOES ECONOMICAS;0;0;3600000,0;32000000,0;0,0;0,0
339137;SERVICOS DE LIMPEZA,VIGIL.E OUTROS-PES.JURID;0;0;0;6822071,510000001;15772528,0;13545359,0
459052;EQUIPAMENTOS E MATERIAL PERMANENTE;462000,0;0,0;0;0;0;500000,0
339039;OUTROS SERVICOS DE TERCEIROS-PESSOA JURIDICA;10190608666,969997;11647820890,920212;12171348692,339888;14752695534,030024;14637688208,659893;15153279172,039938
447042;AUXILIOS;79906,26;6650093,0;0,0;2799999,56;184536,0;0
339048;OUTROS AUXILIOS FINANCEIROS A PES.FISICAS;318437693,5500002;402491782,31999934;424152567,1699998;302297927,1100005;322576119,54000014;286565733,53999984
