CODIGO ELEMENTO DE DESPESA;NOME ELEMENTO DE DESPESA;2010;2011;2012;2013;2014;2015
339091;SENTENCAS JUDICIAIS;620396271,7499998;1573196618,9800003;2013813241,5000005;1941104573,170001;1903608898,9099977;1833289145,450002
339027;ENCARGOS P.HONRA DE AVAIS,GARANTIAS E SEGURO;0;0;0;0;0;117710,49
319059;PENSOES ESPECIAIS;0;0;0;54826852,06999999;52250066,21999999;55325557,44000002
319012;VENCIMENTOS E VANTAGENS FIXAS-PESSOAL MILITA;3218919652,96;3641733429,35;4246933230,19;4779831989,590001;5170594646,639999;5259128768,88
339136;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA;0;0;0;112080,12;757561,38;747067,8699999999
339147;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS;0;0;0;713243,67;1191481,74;1255905,2900000003
339035;SERVICOS DE CONSULTORIA;200986674,69999883;193529438,0199999;199535972,9199996;201333134,65000027;204976058,45999986;167308591,27999994
319004;CONTRATACAO POR TEMPO DETERMINADO;0;0;0;201120,61;0,0;4990804,09
449035;SERVICOS DE CONSULTORIA;2800128,0;3616403,999999999;313205,28;811709,54;6105031,1;7065996,35
459062;AQUISICAO DE PRODUTOS PARA REVENDA;120665,8;153750,2;415512,31;197881,5;0;0
449151;OBRAS E INSTALACOES;0;0;0;32459691,589999996;256954120,27999997;175616132,58999997
339047;OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS;1054705298,7100004;1163825871,3800004;1237150617,6999981;1247320436,2200031;1311969203,6699982;1338449774,4599996
312041;CONTRIBUICOES;5861,37;0,0;0;19467744,1;23326831,17;23400333,08
339050;SERVICOS DE UTILIDADE PUBLICA;1013536145,0400015;1096273259,049995;1171407570,610002;1099576849,589999;1078487461,93;1312531724,5299985
339114;DIARIAS - CIVIL;0;0;0;126679,99999999997;221529,07;210934,27
339030;MATERIAL DE CONSUMO;2971995894,3500543;2748188602,4500623;2852301315,350108;3060683511,6300616;3411254076,820048;3066260721,040019
319149;AUXILIO - TRANSPORTE;0;0;0;0,0;28390,93;394850,0
339015;DIARIAS MILITAR;14310009,200000107;14488526,499999993;13141248,640000027;11036142,640000017;64002430,500000015;162505203,92999837
334081;DISTRIBUICAO DE RECEITAS;27837032703,21002;30809564813,44999;32999957244,84;36546597394,86;37446582685,700005;38773805552,869995
339036;OUTROS SERVICOS DE TERCEIROS-PESSOA FISICA;661684847,6299983;701085540,1600006;755198896,8100029;802422803,0799971;833924352,3299994;791379107,4099987
339031;PREMIACOES CULTURAIS ART.CIENT.DESPOR. OUTRA;1368122,15;14306592,910000006;10790487,73;16282657,780000005;13093762,000000006;29093477,630000006
449042;AUXILIOS;140843363,52000004;40260000,0;86154454,63;46444097,46;109471463,91;68402617,97
459161;AQUISICAO DE IMOVEIS;14300000,0;0,0;0,0;0;0;0
449036;OUTROS SERVICOS DE TERCEIROS-PESSOA FISICA;0;1152,0;70868,4;57468,08;29003,6;58528,09
339033;PASSAGENS E DESPESAS COM LOCOMOCAO;290549557,91000015;325742356,5199994;514212116,8100003;611288850,55;691993541,4600028;774651101,1500014
459051;CLASSIF.DO EXERCICIO ANTERIOR;0,0;0,0;0,0;0,0;0;0
334130;MATERIAL DE CONSUMO;0;0;0;45990303,3500003;68260964,46000114;64204599,960000254
339046;AUXILIO ALIMENTACAO;100001934,44000004;288196449,74999994;423909612,55000013;478500907,85;481290150,95;486068688,6200001
329021;JUROS SOBRE A DIVIDA POR CONTRATO;5846437435,600001;5953202725,070002;6841263008,129999;7416326586,330001;8303625505,310001;8194345431,82
336045;SUBVENCOES ECONOMICAS;0;0;0;3303658,0300000003;1052611,06;1436674,46
319094;INDENIZACOES E RESTITUICOES TRABALHISTAS;24680001,08999997;61353091,25000018;571466337,0200006;853527133,5400026;811798239,77;985212257,8599992
339135;SERVICOS DE CONSULTORIA;0;0;0;0;0,0;0
339108;OUTROS BENEF.ASSIST.DO SERVIDOR E DO MILITAR;0;0;0;29456,510000000002;0,0;472024,08
335041;CONTRIBUICOES;8915117,12;12590392,02;20249736,45;19928436,63;28641566,02;3541405,31
334033;PASSAGENS E DESPESAS COM LOCOMOCAO;0;0;0;220221194,11000004;465391254,18999964;521341275,60999966
339041;CONTRIBUICOES;3228569877,8400006;3451287471,32;4056666508,54;4462262362,079999;4655985447,16;5295939063,0
