CODIGO FONTE DE RECURSOS;NOME FONTE DE RECURSOS;2010;2011;2012;2013;2014;2015
2;RECURSOS VINCULADOS ESTADUAIS;29034172649,78002;32028457279,269993;34513219614,740074;38509858422,04955;39415015541,68985;41142382831,639984
5;RECURSOS VINCULADOS FEDERAIS;6408233120,539992;7031814062,100103;6212382932,010014;8391250771,239765;8496765556,169941;8463585436,729964
42;REC.VINC.ESTADUAIS-CRED.SUPERAVIT FINANCEIRO;0;0;0;0;6743784,96;0,0
45;REC.VINC.TRANSF.FEDERAL/SUPERAVIT FINANC.;0;0;0;58066534,01;578938393,3799998;75901528,04
47;REC.OPERAC. DE CREDITO-P/SUPERAVIT FINANCEIR;0;0;0;0;10330084,85;525346813,4100001
43;F.E.D - CREDITO POR SUPERAVIT FINANCEIRO;0;0;0;0;193497567,17000005;10825318,37
7;OP.CRED.E CONTRIB.DO EXTERIOR-DOT.INIC.CR.SU;1789802637,149999;1217378571,3999994;1007617614,94;4672459297,6500025;6128880462,430008;5197728115,519996
3;RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES;672749886,5999986;1041219578,1399919;1815424206,4700115;2441308211,8100243;2755000097,150025;3617821243,38
1;TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;87917325392,40065;94800363342,38228;102377945114,15424;113029843375,44424;119417070286,84204;125587222331,83643
4;REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.;21229483296,569565;22267932282,339703;26640109886,350384;29638194297,699818;31697942825,52036;35280075234,35004
44;REC.PROP.ADM.IND-CRED.P/SUPERVAVIT FINANCEIR;0;0;0;65047332,19;612199407,7799985;373203014,89
21;TESOURO- CRED.ESPECIAL;4292402,690000003;0,0;0;0;0;274614,93
41;TESOURO - CREDITO POR SUPERAVIT FINANCEIRO;0;1562623072,2499998;539999571,5100001;1064143679,9699999;529630016,03999984;75461348,58
