CODIGO FONTE DE RECURSOS;NOME FONTE DE RECURSOS;2010;2011;2012;2013;2014;2015
2;RECURSOS VINCULADOS ESTADUAIS;280230623,91;127399047,06;189605822,74999973;226639473,98000032;363314811,6200004;234203563,11999983
5;RECURSOS VINCULADOS FEDERAIS;1141360025,0400004;677434186,6200004;919953191,57;1022025066,6399996;938779160,3599988;531086764,97999966
42;REC.VINC.ESTADUAIS-CRED.SUPERAVIT FINANCEIRO;0;0;0;0;0,0;1381564,96
45;REC.VINC.TRANSF.FEDERAL/SUPERAVIT FINANC.;0;0;0;0,0;51655082,6;1511472,99
47;REC.OPERAC. DE CREDITO-P/SUPERAVIT FINANCEIR;0;0;0;0;0,0;3012432,94
43;F.E.D - CREDITO POR SUPERAVIT FINANCEIRO;0;0;0;0;0,0;31783845,62
7;OP.CRED.E CONTRIB.DO EXTERIOR-DOT.INIC.CR.SU;389328185,10999995;591232692,97;347679131,07000005;420638949,83000004;1598319612,58;973183759,2600001
3;RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES;133348741,97999994;155048931,9600001;165585645,02000004;323049992,5499997;577376588,4400004;442164679,19999987
1;TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;10974265721,53078;12457437341,851034;17974616157,560318;16537579702,040071;18898184333,1902;13479651412,650053
4;REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.;2150143703,6499987;757351772,2500008;956278266,2199956;1176630991,8599977;4024967836,490008;2833017384,0399985
44;REC.PROP.ADM.IND-CRED.P/SUPERVAVIT FINANCEIR;0;0;0;0,0;23495945,950000007;46679309,250000015
21;TESOURO- CRED.ESPECIAL;0,0;590217,1;0;0;0;0,0
41;TESOURO - CREDITO POR SUPERAVIT FINANCEIRO;0;0,0;884106234,4800006;640843639,7599996;954479881,5100003;67546837,48
