CODIGO FONTE DE RECURSOS;NOME FONTE DE RECURSOS;2010;2011;2012;2013;2014;2015
2;RECURSOS VINCULADOS ESTADUAIS;28889141908,789997;31720638528,990032;34155427537,1601;38079117516,31939;39096100702,49982;40555690477,340004
5;RECURSOS VINCULADOS FEDERAIS;5492656881,540022;5255568063,530094;5278577031,880106;7360516932,0298;7925860533,809948;7760916469,739936
42;REC.VINC.ESTADUAIS-CRED.SUPERAVIT FINANCEIRO;0;0;0;0;5362220,0;0,0
45;REC.VINC.TRANSF.FEDERAL/SUPERAVIT FINANC.;0;0;0;4491751,41;577207137,4699999;72849378,34
47;REC.OPERAC. DE CREDITO-P/SUPERAVIT FINANCEIR;0;0;0;0;7317651,909999999;413874105,46000016
43;F.E.D - CREDITO POR SUPERAVIT FINANCEIRO;0;0;0;0;161206804,93;5921065,529999999
7;OP.CRED.E CONTRIB.DO EXTERIOR-DOT.INIC.CR.SU;1015809337,7800007;682057009,97;445243118,9399998;3008647221,6400023;5100373490,219999;4697250604,339996
3;RECURSOS VINCULADOS-FUNDO ESPECIAL DE DESPES;494495983,4999998;662321851,1000063;1388132843,080004;1789523894,7100236;2225503238,340019;3086909014,5200014
1;TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR;72746199629,29175;76146587245,7649;85878125575,78241;95369426692,48471;105822732711,16609;112988220086,60378
4;REC.PROPRIO-ADM.IND.-DOT.INIC.CR.SUPL.;20401766187,30965;21242887954,569923;25379458995,920357;25399783248,93977;28760567000,500237;31057076108,26011
44;REC.PROP.ADM.IND-CRED.P/SUPERVAVIT FINANCEIR;0;0;0;39326861,87000001;565412843,1599983;297072522,6599999
21;TESOURO- CRED.ESPECIAL;3673957,300000003;0,0;0;0;0;274614,93
41;TESOURO - CREDITO POR SUPERAVIT FINANCEIRO;0;130696718,35999998;113002121,64;112940261,16999997;461400024,58999974;0,0
