CODIGO FUNCAO;NOME FUNCAO;2010;2011;2012;2013;2014;2015
18;GESTAO AMBIENTAL;990801303,7399998;1141443792,3000002;1157091793,7499998;1468988431,4999979;1515960875,8499873;1515377661,5300074
24;COMUNICACOES;139249355,9000001;91719770,43999997;117540000,0;191600000,0;116176548,92999999;111749268,79
8;ASSISTENCIA SOCIAL;612679842,9500003;805728964,5100023;782189722,3299986;938032883,5199982;983423263,7699969;930062775,0800011
4;ADMINISTRACAO;4616854714,199965;4623168710,339986;5126072388,57003;5442818874,349977;5354732999,320237;5712832896,509803
26;TRANSPORTE;14435024063,430054;11791176414,259968;10196439934,32998;14976007812,280062;14956239399,510029;13703865520,899982
10;SAUDE;14990193655,839642;16094276346,729136;17568803978,519417;19884845447,23999;21906287839,270473;23420736137,92014
17;SANEAMENTO;619482178,9599998;557544542,4599993;539404741,2200003;555352759,5600001;621796761,6100001;654084562,4799991
27;DESPORTO E LAZER;159545730,6199999;185607366,18;161024575,15000007;177153982,67000017;245988517,8399999;181287019,97000015
2;JUDICIARIA;5505768148,919988;6213434794,879997;7711957973,289977;8631119924,909994;9366422179,280008;10328406801,510025
6;SEGURANCA PUBLICA;10831075986,539785;12257701953,48987;14375075831,639683;15683253485,070044;17818153631,33005;19451786722,699963
16;HABITACAO;1355969925,9500003;1562976310,9999995;1176682363,0400004;1469470748,5100007;1475449818,3199992;1174200919,9099998
21;ORGANIZACAO AGRARIA;40931224,420000024;48974102,9099999;62420364,30999998;70213893,10999998;67193662,06000005;67554098,00999999
9;PREVIDENCIA SOCIAL;16615787478,020021;18873837870,71999;22352754919,010017;24768544680,659966;26952858610,89997;29664144455,050014
15;URBANISMO;0,0;0,0;0,0;0,0;0,0;0,0
22;INDUSTRIA;0;5000000,0;0;0;0;0
25;ENERGIA;9180019,62;46328175,72;47618578,559999995;39551686,20999999;44319863,76999999;34725179,18999999
1;LEGISLATIVA;1131448230,9999995;1185783744,950001;1286962675,7899997;1405524520,23;1552698331,3799996;1712649031,2300012
14;DIREITOS DA CIDADANIA;3222431607,130047;3841336810,009987;3938093838,2599597;4530576757,549768;5209015241,058634;5468003335,079935
28;ENCARGOS ESPECIAIS;37715046089,75997;43833671068,08994;47473411915,179924;52473000099,52997;55069819757,08001;60209601336,71997
23;COMERCIO E SERVICOS;14722585,629999992;385838220,13999987;333865808,5600002;509510060,7299995;420306011,5700005;255447916,44000047
13;CULTURA;1000333274,0600015;818001159,6399997;785930714,680001;919298480,1599998;918438018,699998;777195758,8799994
12;EDUCACAO;27174237663,50813;30405974910,597908;32216168538,609833;37753729104,020836;38935628246,45989;41738065515,99
3;ESSENCIAL A JUSTICA;3943549366,1700034;3144578300,6200023;3130823778,150016;3220848831,749998;3584615221,080022;3934170008,510002
11;TRABALHO;190168307,77999967;151334619,85000005;195425195,29999995;250065644,38000003;168153270,1100001;229430179,9300003
19;CIENCIA E TECNOLOGIA;893012660,6300001;1070487581,5100002;1427741561,0199986;1515771735,760003;1509461331,0400016;1689870582,3999984
20;AGRICULTURA;848565970,9499964;813862656,5299989;943197750,9000012;994892078,3700004;1048874623,7600032;1038959588,0600045
