CODIGO FUNCAO;NOME FUNCAO;2010;2011;2012;2013;2014;2015
18;GESTAO AMBIENTAL;177287265,06999978;106769221,87000003;152850503,28999975;149620353,08000013;237840060,31999987;228799823,29000017
24;COMUNICACOES;29163052,240000006;25158239,439999998;29304422,97;27955105,91;42857725,150000006;11168023,540000001
8;ASSISTENCIA SOCIAL;49353971,73999996;74472978,54999994;114458533,47000015;143472251,41;103813633,95999996;53395704,31000006
4;ADMINISTRACAO;645456062,9700004;722892510,7799994;921285347,1699997;767437273,3300004;1077285287,1099992;692301905,5799989
26;TRANSPORTE;3348684498,720007;2623846729,6400003;3968735095,129991;4160901799,1600103;3828833972,6099987;2106711289,7299967
10;SAUDE;1230505948,5199933;1447906126,1800015;2076849186,9400074;2150266533,5700006;2584414862,6400027;1703271466,3199995
17;SANEAMENTO;49102271,51000002;66729886,92;101405521,25999999;189699253,24000007;267429186,85000014;174104632,39999995
27;DESPORTO E LAZER;34343539,88;27061343,61000003;32366298,899999987;18753122,359999996;32158729,22999998;20220419,049999993
2;JUDICIARIA;437137235,8299998;453190600,5900003;488363382,1000001;680622724,9200001;901395622,32;948470047,5399989
6;SEGURANCA PUBLICA;551136516,1199983;918766996,0200003;1059691040,7000003;1048182637,2300004;1420230687,5299952;1771210583,7199962
16;HABITACAO;131372579,4;248188912,39999998;558306323,8;135326080,21;306375430,8799999;45251893,37
21;ORGANIZACAO AGRARIA;5704326,1800000025;4204563,640000001;7838124,580000001;12992817,389999999;12288345,539999995;12917006,760000004
9;PREVIDENCIA SOCIAL;1579708164,6700015;381212074,21000016;423207707,07999974;495157301,1500001;2840268089,799999;2189866521,0300007
15;URBANISMO;0,0;443872,39;6674085,73;2049210,82;2242558,11;111907,47
22;INDUSTRIA;0;0,0;0;0;0;0
25;ENERGIA;4666680,299999999;4994430,24;2219451,52;2274232,03;3761345,1100000003;2968836,440000001
1;LEGISLATIVA;98898780,96999994;122755641,24999996;95114098,18999998;103622310,06000006;134778308,85999995;157830767,77000007
14;DIREITOS DA CIDADANIA;359706380,3699998;435263734,1000009;468424804,769999;488469291,4499995;549782295,0700009;610357946,0500014
28;ENCARGOS ESPECIAIS;227638403,36;29561526,57;1570234749,9099998;1117018486,5000002;1176599193,1599998;1285531227,1100001
23;COMERCIO E SERVICOS;667950760,6199999;10920730,55;363155717,31;58457675,80000001;287459448,6000001;200725487,73000005
13;CULTURA;136795583,12000003;202146205,44;134264110,7299999;82430811,77000007;121529030,32;88225388,73000005
12;EDUCACAO;4807962039,030477;5594930149,700789;8232095217,99079;7676265627,600177;10708601506,989971;5747856005,070025
3;ESSENCIAL A JUSTICA;243228457,95;1037497870,8700007;322316019,42999893;520151397,9399996;370303475,4299999;318129261,38
-999;-999;4094,18;2000,0;10066,0;2568602,03;0;0
11;TRABALHO;63777736,900000006;48784218,94999998;31251441,239999983;47779853,99000002;76640012,44000001;20795115,409999996
19;CIENCIA E TECNOLOGIA;104627859,13999999;78685202,54;114126720,47;125144790,93999991;134807400,78000003;121754744,07999995
20;AGRICULTURA;84464792,43000014;100108423,35999995;163276477,98999992;140788272,7700001;208877043,9299999;133247022,61000003
