CODIGO FUNCAO;NOME FUNCAO;2010;2011;2012;2013;2014;2015
1;LEGISLATIVA;993282983,6299989;1084754404,2899985;1173417508,1399984;1260821964,1899989;1384973904,5300012;1534913084,270002
2;JUDICIARIA;5035983760,499995;5696537251,779998;6914300298,269982;7676252470,749983;8314314476,490007;9216895582,100027
3;ESSENCIAL A JUSTICA;2656444905,309997;2848777740,420003;2772718614,170017;2852388589,119991;3255723220,390017;3500403271,05001
4;ADMINISTRACAO;3774890559,619987;3688902651,200004;4365036124,629996;4330977819,450013;4644677453,770183;4991339220,679777
6;SEGURANCA PUBLICA;9890309580,579782;11147155487,059893;13289963613,339731;14164652518,18001;16044065705,10014;17356027249,52009
8;ASSISTENCIA SOCIAL;481433678,67000055;646806119,1200018;582291570,6000023;812921759,3999989;937304369,4399981;857096924,7900017
9;PREVIDENCIA SOCIAL;16220958625,150026;18442384931,61;21852313972,55002;21925243977,02001;24759402494,570007;26275116099,420013
10;SAUDE;13482500777,149702;13957955839,189375;15369934999,099533;16895454055,840094;19960976778,65025;21234785437,88014
11;TRABALHO;137386670,02999985;113667896,67999995;142011695,43000007;157660650,31999984;150201879,5899999;167378427,5500001
12;EDUCACAO;20061691498,969753;21211788765,729637;24490539274,56998;28848815680,75009;33228215660,42999;36234507705,57024
13;CULTURA;751840220,6800017;691186293,5700014;696539633,74;811014952,5199997;822470172,8199999;707801752,2299997
14;DIREITOS DA CIDADANIA;2756816073,1200137;3263677303,969985;3501296370,589954;3985900974,5498066;4552878186,228874;4827137593,8998375
15;URBANISMO;0,0;0,0;0,0;0,0;0,0;0,0
16;HABITACAO;1116749276,7000003;1014557467,96;1015087089,8099992;1135341996,7700002;1428114009,9799993;1152085642,7700005
17;SANEAMENTO;430540664,6600001;454525299,44000065;426094959,76000017;378559383,25000054;430676390,68999904;531011753,69999933
18;GESTAO AMBIENTAL;857562484,1500021;819828745,3700023;926605688,8699999;1057790601,2100054;1204120899,3399925;1136268880,2100003
19;CIENCIA E TECNOLOGIA;802824695,1;939864587,41;1299602846,3699992;1377690767,2500029;1397308438,4300027;1533313082,1099987
20;AGRICULTURA;737590453,6399953;626725795,6500006;789996324,6100025;816874712,319997;920774406,8200017;912603133,670003
21;ORGANIZACAO AGRARIA;36630504,610000014;40833401,869999915;48226620,59;52733461,34;59047750,790000014;59937169,570000015
22;INDUSTRIA;0;5000000,0;0;0;0;0
23;COMERCIO E SERVICOS;13646175,949999994;42395890,41999996;217009868,96;114608183,05999993;175898855,2599998;116066677,89999986
24;COMUNICACOES;111695214,17;59648406,40999999;87676626,89000002;146244254,43;101830583,67999999;84210086,5
25;ENERGIA;4472319,079999999;44445859,720000006;44620936,15;34866598,75000001;38811436,36999998;31434158,560000006
26;TRANSPORTE;10857775428,749985;6657538412,579981;6133466095,139996;10888990913,680052;12890011403,970013;11094323279,60997
27;DESPORTO E LAZER;132757114,44999999;149305476,2100001;140323587,04;141567192,43000004;222957351,31999993;139874235,5900001
28;ENCARGOS ESPECIAIS;37697960220,839966;42192493344,61995;46358892905,079926;51296400903,999954;53784288529,950005;57241523998,56997
