CODIGO ITEM DE DESPESA;NOME ITEM DE DESPESA;2010;2011;2012;2013;2014;2015
31900122;INATIVOS-DEC.JUDIC.-CART. PREV. ECONOMISTAS;51442,78;53682,57;63822,8;71281,07;0;0
33504390;OUTRAS SUBVENCOES SOCIAIS;21642250,32;17315328,31;36907160,63000001;27614847,610000007;81980249,41000001;19833066,799999997
33903626;SERVICOS TECNICOS E ESPECIALIZADOS;0;0;0;0;0,0;50555,70999999999
33903992;DESPESAS MIUDAS E DE PRONTO PAGAMENTO;97844,32000000005;11974,32;15569,95;37412,28;1823,5300000000002;9915,91
33903953;PROJ.OU PESQ.DE CIENCIA,TECNOLOGIA E INOVACA;0;0;0;0;0,0;5411689,640000003
44903501;SERV. DE CONSULTORIA, ASSESSORIA E AUDITORIA;0,0;1205304,0;1103518,0;2321723,7;2497163,35;12703271,830000002
33903081;ALIMENTOS PARA ANIMAIS;0;0;0;0;0,0;1891505,7300000002
33904710;CONTRIBUICOES P/FORMACAO DO PASEP/PIS;91135825,21000002;76198443,43999998;99406543,21000001;104840844,79;116608162,25999999;111576175,95
33900845;AUXILIO FUNERAL - PODER EXECUTIVO - INATIVOS;0;0;0;0,0;0,0;0,0
33604501;SUBVENCOES ECONOMICAS;0;0;0;0,0;20696341,97;0
33504104;CONTRIB.A ENT.PRIVAD.SEM FINS LUCRATIVOS;6122743,54;2706728,64;5730140,410000001;5325959,420000001;1617660,02;574885,76
33903967;SERV.ESP.DE SAUDE,INCLU.DECORR.DE DEC.JUDICI;0;0;0;0;0,0;3622538,1999999997
31904901;AUXILIO TRANSPORTE;31920436,149999984;34191733,739999965;32418074,830000006;30923470,220000032;32456448,340000033;32206768,439999994
33903960;REALIZACAO DE CONCURSO PUBLICO;0;0;0;0;0;0,0
33905012;TELEFONIA FIXA;10899356,350000003;10807045,059999907;10935272,349999972;11505892,120000003;12467938,97000001;10030000,25
33903994;OPERACOES POLICIAIS;0,0;0,0;0,0;0,0;0,0;0,0
33903044;BANDEIRAS, FLAMULAS, INSIGNIAS;0;0;0;0;0,0;63916,659999999996
46907111;PRINCIPAL DA DIVIDA POR CONTRATO EXTERNA;198848,03;275162,28;21125,81;448004,33999999997;0,0;0,0
