CODIGO ITEM DE DESPESA;NOME ITEM DE DESPESA;2010;2011;2012;2013;2014;2015
31204101;COMPENSACAO PREVIDENCIARIA;5861,37;0,0;0;19467744,1;23326831,17;23400333,08
31900111;INATIVOS-RPPS;77550891,41000001;14991886,600000001;16734372,35;9344693796,5;10394595859,7;11427849517,039999
31900112;INATIVOS DA POLICIA MILITAR;0;0;0;3426722246,5000005;3987191729,02;4304800484,64
31900113;INATIVOS-OUTROS PODERES-RPPS;0;0;0;1878721800,1100001;2061328246,16;2366166780,67
31900114;INATIVOS 13 SALARIO-RPPS;910118,26;1176524,71;1022592,08;432265941,67;779761469,3100001;437518730,82
31900115;INATIVOS 13 SALARIO-OUTROS PODERES - RPPS;0;0;0;79750423,26;172758039,51;102462309,59
31900116;INATIVOS 13 SALARIO-PESSOAL MILITAR;0;0;0;144227270,04999998;366402651,8;189382880,5
31900117;INATIVOS-EMPRESAS;999249360,7899998;1072429940,7800004;1137874796,780001;0,0;0,0;0,0
31900118;13 SALARIO/INATIVOS-EMPRESAS;46662562,87999997;49929824,51000001;84861656,05999996;0,0;0;0
31900119;ATRASADOS-OUTROS PODERES/MINIST.PUBLICO;211002391,48000002;182608610,99000007;140023412,36999997;126966060,85000004;188235804,73000005;193153058,6899999
31900120;REEMBOLSO DE FERIAS-OUTR.PODERES/MINIST.PUBL;4886371,650000002;32958626,4;18918488,429999996;0,0;0;0
31900121;INATIVOS-CARTEIRAS EXTINTAS;1101192,9800000002;1174466,3499999994;1286864,69;2204706,5299999993;2320866,500000002;2411315,1499999994
31900122;INATIVOS-DEC.JUDIC.-CART. PREV. ECONOMISTAS;602419,91;702461,7399999999;918131,5100000002;0,0;0;0
31900124;COMPLEMENTACAO DE APOSENTADORIA;44356957,82999999;55326849,60999999;56961039,43;1308292886,7999997;1267383341,0500011;1418231584,9699998
31900125;COMPLEMENTACAO DE APOSENTADORIA - 13∫SALARIO;3481470,33;3806664,42;4090702,5900000003;96013820,42999995;100312838,67000002;120124350,58999994
31900311;PENSIONISTAS-PODER EXECUTIVO-RPPS;66401385,07;41522639,349999994;37942036,099999994;2647304678,3100004;2754672234,1800003;2987860976,68
31900313;PENSAO MENSAL MILITAR;0;0;0;1542904322,4099998;1782559057,33;1874365507,15
31900314;PENSIONISTAS-OUTROS PODERES-RPPS;0;0;0;530270368,36;546140605,49;592617365,86
31900315;PENSIONISTAS 13 SALARIO-PODER EXECUTIVO-RPPS;0,0;0;0,0;225317741,55;232164451,83;248872920,10999998
31900316;PENSIONISTAS 13 SALARIO-OUTROS PODERES-RPPS;0;0;0;45644017,09;46517257,35;51196496,63
31900318;PENSAO MENSAL MILITAR-13 SALARIO;0;0;0;145550806,89;159012884,96;162613662,77
31900319;PENSIONISTAS-REVOLUCAO DE 1932;14991464,100000001;13653907,05;15052806,21;0,0;0;0
31900320;PENSAO A HANSENIANOS;2883705,0;2787420,0;2880541,0;0,0;0;0
31900321;PENSAO JUDICIAL DE CARATER INDENIZATORIO;79560,0;89240,0;103874,0;0,0;0;0
31900322;PENSIONISTAS- DEC.JUDIC.-CARTEIRAS EXTINTAS;726079,9399999997;739394,6699999998;748685,0900000002;1681610,720000001;1935606,37;1824816,5999999994
31900323;PENSIONISTAS-DEC.JUDIC-CART.PREV. ECONOMISTA;130722,26999999999;133424,74;190130,83;0,0;0;0
31900324;PENSIONISTAS-CART. SERVID. MUNICIPAIS-CASEM;731387,6499999999;651565,5700000001;708818,6800000002;0,0;0;0
31900325;COMPLEMENTACAO DE PENSAO;1907040,4900000005;2134960,21;1694802,6600000001;2946225,1500000004;3749112,3799999994;5132236,249999996
31900326;COMPLEMENTACAO DE PENSAO - 13∫ SALARIO;147592,48999999996;183669,33;165437,28;301539,24999999994;353692,41;389197,37
31900327;ATRASADOS-OUTROS PODERES E MINISTERIO PUBLIC;0;0;0;8410054,930000002;12290007,930000002;22306299,509999998
31900401;CONTRATACAO POR TEMPO DETERMINADO;0;0;0;201120,61;0,0;4990804,09
31900510;BENEFICIOS DA PREVIDENCIA SOCIAL;880134,0199999998;167752,0;5513,34;0;0;0
31900511;BENEFICIOS DA PREVIDENCIA SOCIAL-13 SALARIO;2269,06;8438,15;0,0;0;0;0
31900701;CONTRIBUICAO PATRONAL;0;0;0;3480990,3599999966;10362237,540000014;14718483,890000017
31900801;SALARIO FAMILIA - CIVIL;0;0;0;717977,0399999957;1079873,9600000014;1377912,1600000074
31900803;SALARIO FAMILIA-INATIVOS DO EXECUTIVO;0;0;0;67615,94;62957,17;58921,05999999999
31900820;OUTRAS TRANSFERENCIAS-PESSOAL;2819258,4200000004;1706228,34;1904450,88;1923447,66;2461985,1399999997;3147019,63
31900899;OUTROS-SALARIO FAMILIA;0;0;0;1865,16;536,94;0
31900901;SALARIO FAMILIA-CIVIL;488864,5700000013;633557,5899999985;478053,5599999987;0,0;0,0;0
31900903;SALARIO FAMILIA-INATIVOS DO EXECUTIVO;86057,17000000001;49440,10999999998;34518,57;0,0;0;0
31900904;SALARIO FAMILIA-INATIVOS OUTROS PODERES;151,64;186,59999999999997;0;0;0;0
31901111;PESSOAL CIVIL PAGO PELO DDPE;13666294860,599993;14416967677,759954;15962237329,590006;18009647016,489944;20228086422,529957;22312286229,030106
31901112;PESSOAL CIVIL PAGO PELA UNIDADE;4869436295,520002;5012634997,9600115;5749778155,61002;6803706973,39001;8666429304,449999;10313505903,79998
31901128;PESSOAL CIVIL PAGO PELO DDPE-13 SALARIO;1257885881,1499991;1395824579,3399978;1545736330,8100066;1690530597,7599888;1947126092,5000029;1937059063,4900074
31901129;PESSOAL CIVIL PAGO PELA UNIDADE-13 SALARIO;433230103,7300009;442135695,56999993;471341125,31000006;631019307,3100009;639378073,4800005;666291128,7700005
31901130;PESSOAL CIVIL PAGO PELO DDPE - 1/3 FERIAS;231304857,68000063;249473458,97000068;318155627,1500004;358419355,4900007;398065799,9000003;423949600,9499985
31901131;PESSOAL CIVIL PAGO PELA UNIDADE-1/3 FERIAS;134858998,60999992;148768638,14;160317556,26999965;183258711,29999986;181961347,11000013;227665865,28000045
31901133;VENCITOS.ATRASADOS-OUTR.PODERES E MINIST.PUB;271849081,04;130971417,27999999;150306690,92000002;175179509,27;188018061,97999993;205535744,01000005
31901134;REEMBOLSO DE FERIAS-OUT.PODERES E MINIST.PUB;21266902,53;242146537,71000004;262602622,29000005;0,0;0;0
31901136;ABONO DE PERMANENCIA;212146766,52000028;320185669,76999927;370428429,0499999;380362135,49999905;450670597,2099994;560659341,960001
31901137;LICENCA PREMIO - PESSOAL CIVIL;0;0;0;0;25407080,010000035;130141695,7500003
31901201;VENCIM.E VANTAG.FIXAS-PESSOAL MILITAR;2878722396,2600007;3253903373,45;3828056908,58;4311452385,54;4647742240,81;4895311693,300001
31901209;PESSOAL MILITAR-13 SALARIO;256249591,10999998;295635464,64;310608235,21000004;356949167,45;393696304,43999994;173008949,63999996
31901210;PESSOAL MILITAR-1/3 FERIAS;83947665,58999999;92194591,25999999;108268086,4;111430436,6;123549787,66;137810570,7
31901211;ABONO DE PERMANENCIA;0;0;0;0;5606313,73;22418420,35
31901212;LICENCA PREMIO - PESSOAL MILITAR;0;0;0;0;0;30579134,89
31901311;OBRIGACOES PATRONAIS-INAT.E PENSIONISTAS;0,0;4099,88;0,0;0,0;0,0;0
31901312;OUTRAS CONTRIBUICOES DE PREV.SOCIAL;365849008,17000014;412052300,5600009;474094919,2699996;576404849,5500004;507127868,1900002;491262267,8199998
31901313;FUNDO DE GARANTIA POR TEMPO DE SERVICO;292179679,1200002;333519028,28999996;395008938,44000006;442455214,17000026;482639175,9300005;516981164,48999995
31901319;OBRIG.PATRONAIS-INAT.E PENS.-13 SALARIO;0,0;0,0;0,0;0,0;0,0;0
