CODIGO MODALIDADE;NOME MODALIDADE;2010;2011;2012;2013;2014;2015
3350;TRANSF.A INST.PRIVADAS SEM FINS LUCRATIVOS;3495790058,3400006;3990571966,7199984;4097752012,7399993;4457309619,199998;5133123843,460005;5796374884,040002
3360;TRANSF.A INST.PRIVADAS COM FINS LUCRATIVOS;0;0;0;24000000,0;1052611,06;2307501,0
3380;TRANSFERENCIAS AO EXTERIOR;2231231,65;158700,0;0,0;1463776,04;0;0
3370;TRANSF.A INSTIT.MULTIGOVERN.NACIONAIS;110259815,82000002;127939943,74000002;130753940,0;155252707,80000004;158364702,72000006;155227696,58999997
3391;APLICACOES DIRETAS-INTRA ORCAMENTARIAS;49141511,580000006;74976425,58;80874013,26000004;574195541,5299995;1175049647,6999993;1069342761,4099996
3191;APLICACOES DIRETAS-INTRA ORCAMENTARIA;12520619068,690168;14381542550,90996;17359454947,420044;19848874860,820095;21904259036,959965;24229517137,41995
3414;CLASSIF.DO EXERCICIO ANTERIOR;0,0;0,0;0,0;0;0;0
3341;TRANSFERENCIAS A MUNICIPIOS - FUNDO A FUNDO;0;0;0;333013392,45999783;501248553,2199957;385920217,2599994
3290;APLICACOES DIRETAS;6216034968,460003;7100955821,780001;7701378207,129998;8374233419,980005;9592061539,039997;9683230342,26
3320;TRANSFERENCIAS A UNIAO;20828157,560000006;20561097,6;143406297,66999993;36829334,21000001;13029961,910000002;24650089,47
4591;APLIC.DIRETAS-OP.ENTRE ENTID.INTEGR.ORCAMENT;1193524110,0;1020634467,79;862755899,01;630584697,99;783958650,4;641436055,4
4440;TRANSFERENCIAS A MUNICIPIOS;957240189,1100001;638640491,7799997;1219163372,1500013;1066353990,2599994;984157190,1100018;496422117,1200003
4470;TRANSF.A INSTITUICOES MULTIGOVERNAMENTAIS;79906,26;6650093,0;0,0;2799999,56;184536,0;0
4450;TRANSF.A INSTIT.PRIVADAS SEM FINS LUCRATIVOS;342926766,71000004;232951743,3600001;240520769,23000008;235980055,61999997;170152095,60999995;40594396,68000001
4490;APLICACOES DIRETAS;11331148170,979939;8690607982,829971;6210141657,109991;11603515768,029896;11109594980,419935;8848108909,949959
4940;CLASSIF.DO EXERCICIO ANTERIOR;0,0;0,0;0,0;0;0;0
3190;APLICACOES DIRETAS;34021876492,59949;37034944037,420364;40618850957,20022;68176896345,32001;73589694373,19072;80982958216,73929
4420;TRANSFERENCIAS A UNIAO;10014997,719999999;115570579,33;431273284,56999993;395334438,0;373377851,02;248320495,0
3120;TRANSFERENCIAS A UNIAO;5861,37;0,0;0;19467744,1;23326831,17;23800000,0
3390;APLICACOES DIRETAS;41173773605,89143;46306976884,6739;52196014391,17188;34991015982,34995;35447576821,09231;38135659077,18785
4690;APLICACOES DIRETAS;3651171059,6800027;4137942397,9400024;4782895705,790002;5460063650,910001;5776159137,599999;7179203541,330004
3340;TRANSFERENCIAS A MUNICIPIOS;28439493301,700405;31604177074,0806;33834451169,59026;37359272888,780014;38362005423,080086;41447651319,53002
3490;CLASSIF.DO EXERCICIO ANTERIOR;0,0;0,0;0;0;0;0
4491;APLICACOES DIRETAS-INTRA ORCAMENTARIAS;0;0;0;35920850,339999996;307349546,1099999;196790124,73999995
4590;APLICACOES DIRETAS;3519900111,61;4463985929,349999;3197012316,1300006;4087792858,7699995;4436286692,13;4416692389,66
