CODIGO MODALIDADE;NOME MODALIDADE;2010;2011;2012;2013;2014;2015
3350;TRANSF.A INST.PRIVADAS SEM FINS LUCRATIVOS;36601428,75000001;37222386,45;98260004,91999996;82708528,44999996;223665192,1200001;69100683,11000003
3360;TRANSF.A INST.PRIVADAS COM FINS LUCRATIVOS;0;0;0;0,0;20696341,97;0,0
3380;TRANSFERENCIAS AO EXTERIOR;0,0;0,0;1342,8;0,0;0;0
3370;TRANSF.A INSTIT.MULTIGOVERN.NACIONAIS;0,0;24037,29;45878,1;34985,83;6746327,79;10721719,88
3391;APLICACOES DIRETAS-INTRA ORCAMENTARIAS;2781594,09;3943001,5700000008;5793533,1899999995;7625203,059999997;12548287,510000002;22645332,26
3191;APLICACOES DIRETAS-INTRA ORCAMENTARIA;379251542,00000006;260711382,31999996;1588787695,3400004;1840168755,789999;6610923120,079986;4299101062,6799965
3414;CLASSIF.DO EXERCICIO ANTERIOR;0,0;0,0;0,0;0;0;0
3341;TRANSFERENCIAS A MUNICIPIOS - FUNDO A FUNDO;0;0;0;0,0;14908563,049999995;18195648,350000005
3290;APLICACOES DIRETAS;903975,45;79714,1;581833719,07;591244324,75;690141592,29;761725359,13
3320;TRANSFERENCIAS A UNIAO;508531,85;983515,2000000001;1664979,82;5017226,71;9595358,46;7649281,87
4591;APLIC.DIRETAS-OP.ENTRE ENTID.INTEGR.ORCAMENT;483800090,81;322861694,36;438210901,58;416158835,42;336808232,74999994;211864665,21
4440;TRANSFERENCIAS A MUNICIPIOS;296612366,18;348379929,06;423524941,70999974;299950092,53000003;567674401,3100004;449521537,03999996
4470;TRANSF.A INSTITUICOES MULTIGOVERNAMENTAIS;0,0;0,0;4615951,78;0,0;340870,95;0
4450;TRANSF.A INSTIT.PRIVADAS SEM FINS LUCRATIVOS;37178789,949999996;38982727,90999998;106657747,47999999;98392770,48999996;96609570,04000002;29737652,860000003
4490;APLICACOES DIRETAS;2430367535,799998;2431396487,110006;3788155712,3999934;3422182534,2300024;3746267787,8599954;2147719048,3599997
4940;CLASSIF.DO EXERCICIO ANTERIOR;0,0;0,0;0,0;0;0;0
3190;APLICACOES DIRETAS;4152639904,269991;6064160375,020019;7119533643,920002;6770101682,199997;8976454198,830032;7030038047,399994
4420;TRANSFERENCIAS A UNIAO;5786379,859999999;9926997,719999999;111978000,0;596613,77;176334438,0;0,0
3120;TRANSFERENCIAS A UNIAO;0,0;0,0;0;0,0;0,0;0,0
3390;APLICACOES DIRETAS;5135644525,190577;4184996814,7205925;4706922674,180601;4673790787,180192;4381244185,68998;2941568640,4199853
4690;APLICACOES DIRETAS;1519384,3;347068,39;309434989,82;355426195,01;381059748,32;425506185,48
3340;TRANSFERENCIAS A MUNICIPIOS;20112041,990000002;24955164,949999996;29785096,71999999;39412411,99999995;35807518,96;11187640,61
3490;CLASSIF.DO EXERCICIO ANTERIOR;0,0;40818,6;0;0;0;0
4491;APLICACOES DIRETAS-INTRA ORCAMENTARIAS;0;0;0;0,0;0,0;391776,87
4590;APLICACOES DIRETAS;2084968910,7299998;1037482075,04;2122617635,8399997;1744596869,2400002;1142747516,76;208548744,96
