CODIGO ORGAO;NOME ORGAO;2010;2011;2012;2013;2014;2015
27000;MINISTERIO PUBLICO;1323704243,6699996;1446442975,6599991;1549253961,5099993;1688675606,8899984;1802830697,1899989;2085700125,9999986
39000;SECRETARIA DE SANEAMENTO E RECURSOS HIDRICOS;1059749125,7499995;1093138978,8899994;1014923304,2500005;1240677092,569998;1187351163,6799994;1135095397,7300012
12000;SECRETARIA DA CULTURA;924424473,260001;789894258,7800004;779474001,7000011;911338434,5299999;913193762,6499978;767902020,8099995
37000;SECRETARIA DOS TRANSPORTES METROPOLITANOS;7292736909,419991;6469633848,119993;6373863812,539992;7380538854,939991;8409921223,630008;8052701232,5
47000;SECR.EST.DIREITOS PESSOA COM DEFICIENCIA;43677421,959999956;32822478,14;48984686,33000003;79176021,12999988;239440490,51000023;120093752,87999998
1000;ASSEMBLEIA LEGISLATIVA;660332721,7600001;689363806,1499994;760253462,2199999;819095474,27;874881577,2299999;969418633,7700006
25000;SECRETARIA DA HABITACAO;1355969925,9500003;1562976310,9999995;1176682363,0400004;1469470748,5100007;1475449818,3199992;1170864834,4499998
42000;DEFENSORIA PUBLICA DO ESTADO;477139632,7000001;535819125,1899999;556059862,7399983;599457505,7699987;737731264,0199997;795087244,9899992
49000;SECRETARIA DE ENERGIA E MINERACAO;0;0;0;0;0;26721158,02000001
41000;SECRETARIA DE ESPORTE, LAZER E JUVENTUDE;159545730,6199999;159897694,29;161024575,15000007;177153982,67000017;245988517,8399999;166431019,56000003
3000;TRIBUNAL DE JUSTICA;5467961122,32999;6173823774,879998;7666882448,739977;8578976975,679983;9315376150,340017;10265150223,260015
43000;SECRETARIA DE ENSINO SUPERIOR;8237544088,700648;5355661,79;0,0;0,0;0,0;0
35000;SECRETARIA DE DESENVOLVIMENTO SOCIAL;568142696,0699999;785549654,9700022;935650426,8999981;883049218,2499988;914847933,7099953;884502315,5199999
9000;SECRETARIA DA SAUDE;13062529301,09972;14192516147,749353;15065404905,199472;17693267764,870068;19318947156,37021;20469545135,13034
45000;SECRETARIA DE COMUNICACAO;145669533,88000003;1891457,0799999998;0,0;0;0;0
48000;SECR. DE DESENVOLVIMENTO METROPOLITANO;0;135567931,28000006;125360328,26999998;129931509,93999991;0,0;0,0
2000;TRIBUNAL DE CONTAS DO ESTADO;471115509,23999953;496419938,7999999;526709213,56999993;586429045,9600002;677816754,1500006;740366154,1099997
50000;SECRETARIA DE TURISMO;0;244154564,13000005;291564774,14000016;286052542,87999964;341596395,06;174947914,56000003
44000;SECRETARIA DE GESTAO PUBLICA;1388834210,2500029;1714712221,770004;1892001209,8700027;1792044254,3200026;1988110898,360001;0,0
23000;SEC.DO EMPREGO E RELACOES DO TRABALHO;190168307,77999967;151031957,77000007;133999653,91000009;153275000,34999982;137397673,25;136571839,6600001
29000;SECRETARIA DE PLANEJAMENTO E GESTAO;961433760,909999;360521385,1100003;674701391,7600005;989866806,519999;1220442996,7399983;2502555072,5400033
6000;TRIBUNAL DE JUSTICA MILITAR;37807026,590000026;39611019,99999999;45075524,54999998;52142949,230000004;51046028,93999996;57537395,34000002
17000;SEC.DA JUSTICA E DA DEFESA DA CIDADANIA;1069056787,8100123;1392981625,9400005;1398482323,4099994;1681964272,0899615;1935539722,9500408;1993160043,2099514
40000;PROCURADORIA GERAL DO ESTADO;2142705489,8000019;1162316199,7699995;1025509953,8999994;932715719,0900006;1044053259,87;1051534389,2700005
26000;SECRETARIA DO MEIO AMBIENTE;706199544,9600011;666775130,8100039;741019430,2399976;833602478,8400055;994003311,3799995;918047041,2399998
21000;ADMINISTRACAO GERAL DO ESTADO;38814509691,03997;44995188014,799934;48619997569,56993;53820759622,64994;56381657006,00001;59802348108,63999
28000;CASA CIVIL;257075709,30000013;320807573,6300003;383814406,9300003;509385189,699999;583791938,7000014;247495466,40999988
38000;SECRETARIA ADMINISTRACAO PENITENCIARIA;2232480663,180028;2589051154,609995;2845072779,720023;3189202477,5197554;3577919447,839053;3880906567,959921
46000;SECRETARIA DE RELACOES INSTITUCIONAIS;27706625,58;599918,2300000001;0,0;0,0;0,0;0
13000;SECRETARIA DE AGRICULTURA E ABASTECIMENTO;1017087014,6099976;833990840,0799971;944302527,0700016;995607408,9300004;1049776592,2500037;1030742582,5200045
16000;SECRETARIA DE LOGISTICA E TRANSPORTES;7212148534,709987;5415439757,649994;3919915654,24001;7701898996,679993;6620715250,240024;4373313056,510004
51000;SECRETARIA DE GOVERNO;0;0;0;0;0;1183807740,530002
18000;SECRETARIA DA SEGURANCA PUBLICA;10919100620,419777;12201299818,939863;14498009709,569677;15823093099,07006;17961630272,700047;19597836248,74998
49000;SECRETARIA DE ENERGIA;0;69652979,28;82813755,65999997;75901652,19000003;81312257,62999998;0
8000;SECRETARIA DA EDUCACAO;18978719367,169876;21387419753,760006;22300973508,16951;25920642317,009933;28000672813,729897;29637911659,34031
24000;SECRETARIA DE TURISMO;0,0;0,0;0,0;0,0;0;0
10000;SEC.DESENV. ECONOMICO, CIENCIA,TECN. INOVACA;1589317042,1700084;10851039066,980455;12311485503,429884;14081270073,779747;13267131069,329857;14612721300,629618
20000;SECRETARIA DA FAZENDA;18261466553,040024;20982081161,850006;24257431911,87007;26793508825,239895;28491440579,389698;31498812155,830185
