CODIGO ORGAO;NOME ORGAO;2010;2011;2012;2013;2014;2015
27000;MINISTERIO PUBLICO;141703125,03;135314708,03000003;180132948,12000006;171415746,08999994;239470321,02000013;209331052,81000006
39000;SECRETARIA DE SANEAMENTO E RECURSOS HIDRICOS;157901213,19999993;155379404,21000004;189369215,53;303586056,63;428335698,89999974;307340978,43000036
12000;SECRETARIA DA CULTURA;129954538,27999999;180106878,47000003;128135279,60999991;81901578,75000007;118191619,88;87045456,56000005
37000;SECRETARIA DOS TRANSPORTES METROPOLITANOS;1766048506,7899995;1823826467,8500004;2126167308,3499985;2247024396,88;2069153427,6200008;983945493,7600002
47000;SECR.EST.DIREITOS PESSOA COM DEFICIENCIA;3361149,9499999993;17525761,160000004;11467182,860000005;20990908,04;15246992,43;96525938,31
1000;ASSEMBLEIA LEGISLATIVA;55520583,12000001;74489314,30999999;52086638,789999984;57191846,320000015;88622421,72000001;78460945,16999999
25000;SECRETARIA DA HABITACAO;131372579,4;248188912,39999998;558306323,8;135326080,21;306375430,8799999;45251893,37
42000;DEFENSORIA PUBLICA DO ESTADO;52123261,52000002;58110060,81000004;61747734,57;61670404,29999996;47884503,459999956;53021052,10999999
49000;SECRETARIA DE ENERGIA E MINERACAO;0;0;0;0;0;6435161,109999999
41000;SECRETARIA DE ESPORTE, LAZER E JUVENTUDE;34343539,88;27061343,61000003;26739584,22;18448400,359999996;32158729,22999998;19151219,049999982
3000;TRIBUNAL DE JUSTICA;425676828,29999983;447501709,99000037;483274567,8300001;676906200,3900001;895238095,4200002;942911943,569999
43000;SECRETARIA DE ENSINO SUPERIOR;1835928472,7499673;2520203787,1402116;9479983,559999999;36829976,46000036;2546573924,2399993;0
35000;SECRETARIA DE DESENVOLVIMENTO SOCIAL;45093478,53999999;69118195,92999996;106608587,83000012;151681691,58000016;97110549,7599999;47693827,270000085
9000;SECRETARIA DA SAUDE;905574003,4100009;1044437624,6500071;1598688473,2800078;1574470924,2600076;2325372662,210002;1485572538,1900022
45000;SECRETARIA DE COMUNICACAO;29626772,680000003;25697708,97;14974,5;0;0;0
48000;SECR. DE DESENVOLVIMENTO METROPOLITANO;0;0,0;44073344,29999994;46120068,60999997;47249574,17;41398220,42
2000;TRIBUNAL DE CONTAS DO ESTADO;43378197,85000002;48266326,93999999;43027459,40000001;46430463,74000001;46155887,14;79369822,59999995
50000;SECRETARIA DE TURISMO;0;0,0;99422497,27000001;78188954,01;124886777,89999998;158843096,21000004
44000;SECRETARIA DE GESTAO PUBLICA;131996883,89;157453081,74000004;230651427,6599997;202929036,12000015;188952082,2200001;149265882,37000015
23000;SEC.DO EMPREGO E RELACOES DO TRABALHO;63777736,900000006;48784218,94999998;30948779,159999985;12291735,389999995;20318416,99000001;17161370,84
29000;SECRETARIA DE PLANEJAMENTO E GESTAO;309330757,6300002;298681429,30999964;295847886,03000015;235359439,07999995;303046968,85000026;197754602,18999973
6000;TRIBUNAL DE JUSTICA MILITAR;4096943,17;5688890,6;4362739,66;3716524,53;6157526,9;5558103,970000001
17000;SEC.DA JUSTICA E DA DEFESA DA CIDADANIA;111528342,77000007;123770280,66999981;112469804,78999978;136911168,23999956;238825656,170001;214787603,21000034
40000;PROCURADORIA GERAL DO ESTADO;56765535,759999976;844073102,0300007;81161411,35;287065247,5499999;82948650,95000009;55777156,46000001
26000;SECRETARIA DO MEIO AMBIENTE;73315513,80000003;63848250,09999997;70872371,28999992;45652468,55999997;71613037,05000003;92097152,59000008
21000;ADMINISTRACAO GERAL DO ESTADO;263848964,95000002;109263441,67999998;1621883129,5900004;1172948744,1800003;1278353159,76;1399495226,27
28000;CASA CIVIL;31005895,689999994;47877928,50999999;61686799,44000003;56920197,76999999;100359337,05000003;75643302,01999997
38000;SECRETARIA ADMINISTRACAO PENITENCIARIA;251083892,14999986;302403811,5499997;363303529,7900007;354800034,8800004;336898260,6099997;354858569,4400007
46000;SECRETARIA DE RELACOES INSTITUCIONAIS;4931625,489999999;3456817,840000002;0,0;0,0;0,0;0
13000;SECRETARIA DE AGRICULTURA E ABASTECIMENTO;96783817,2800001;111352512,24000002;163351165,3399999;140873499,3000001;208940593,86999992;133329085,60000002
16000;SECRETARIA DE LOGISTICA E TRANSPORTES;1582952049,5799992;800693768,3600008;1852392236,3700032;1916513984,0699978;1769866130,4200015;1124299513,8599994
51000;SECRETARIA DE GOVERNO;0;0;0;0;0;0,0
18000;SECRETARIA DA SEGURANCA PUBLICA;552673712,7199982;919817976,8299999;994556823,9000012;1039510890,6900003;1429276012,3599958;1780793789,759996
49000;SECRETARIA DE ENERGIA;0;0,0;5118256,309999999;6090458,750000001;9210707,350000001;0
8000;SECRETARIA DA EDUCACAO;2880049838,419997;2982250319,630004;3962626487,909999;3426288977,1299953;3771670676,4099936;2349226095,450007
24000;SECRETARIA DE TURISMO;0,0;1037799,62;17968784,02;0,0;0;0
10000;SEC.DESENV. ECONOMICO, CIENCIA,TECN. INOVACA;413162213,33999985;441162720,5300001;4750254133,230789;4820533862,969976;4699367235,179999;3642900312,8600073
20000;SECRETARIA DA FAZENDA;2483767026,980004;629649635,1500002;1099626579,0099995;780817850,8199985;3486742184,619996;2409976620,6599975
