CODIGO PROGRAMA;NOME PROGRAMA;2010;2011;2012;2013;2014;2015
936;SANGUE, COMPONENTES E DERIVADOS;61307457,12000001;64196177,50000002;72215083,59;82136617,08999994;87640809,06999996;0
2822;REDE SOCIAL DE SOLIDARIEDADE E CIDADANIA;7446597,43;6841719,189999999;41449302,149999976;54983665,26999995;68575330,05999997;67471532,04999994
1;PARTICIPACAO SOCIETARIA;4527520150,099999;5254360124,79;3837394678,33;4657856121,25;5127875703,610001;4955752477,780001
2613;GESTAO AMBIENTAL NAS REGIOES METROPOLITANAS;0;0;52617896,83000007;83240535,29000014;92255988,30999999;93862771,53
1017;ASSISTENCIA MEDICA, HOSPITALAR E AMBULATORIAL EM HOSPITAIS UNIVERSITARIOS;0,0;0,0;0,0;0,0;0,0;0
3709;NOS TRILHOS DO DESENVOLVIMENTO;0;0;11369705,79000001;17911828,510000028;29217238,810000017;0
1609;CONSERVACAO DA MALHA RODOVIARIA;397598897,56999975;359363554,54999983;0,0;0,0;0;0
1217;COMPLEXO CULTURAL LUZ;0;0;3929607,4;10732843,77;10000,0;0
944;RECOMECO: UMA VIDA SEM DROGAS;0;0;0;0;0;41336071,69999999
2012;FORTALECIMENTO DA GESTAO FISCAL DO ESTADO DE SAO PAULO;10215465,839999998;19309680,990000002;215795756,6799999;247779219,1999997;251108027,50000268;282195582,8999921
4413;GESTAO DO CONHECIMENTO E INOVACAO;0;0;934241,0;988993,0;859683,0;408607,06
1201;DIFUSAO CULTURAL;204334729,82;216492178,60000002;164932875,67;141398341,73000002;183583915,90000004;0
930;ATENDIMENTO INTEGRAL E DESCENTRALIZADO NO SUS/SP;10413300584,17993;11375849814,559654;13301717188,339767;15546727726,10994;15832439252,489466;16280256001,199778
929;ATENDIMENTO INTEGRAL E DE ALTA COMPLEXIDADE EM ASSISTENCIA MEDICA EM SAO PAULO;847926738,1500006;951600713,8200015;0,0;0,0;0,0;0,0
942;CAPACITACAO E DESENVOLVIMENTO DE PESSOAS NA AREA DA SAUDE;0;0;0;0;0;194359390,09000003
1207;FABRICAS DE CULTURA - PROGRAMA PARA INCLUSAO SOCIAL;80688187,47;33544656,349999998;0,0;0,0;0,0;0,0
2826;COMUNICACAO SOCIAL;0;0;169394982,36;266847506,21;206023929,71;151777372,79000002
4904;GESTAO ADMINISTRATIVA EM ENERGIA;0;0;35736784,13999996;41243977,55999997;37960953,519999966;41554919,55
4404;QUALIDADE EM GESTAO PUBLICA;223144559,16999817;260717802,81999978;219857855,1000002;190799974,03999984;245311885,31999996;153173227,19999996
816;APOIO ADMINISTRATIVO E SUPORTE TECNICO A EDUCACAO BASICA;0;0;0;0;9508619637,330057;5401946259,009991
3907;INFRAESTRUTURA HIDRICA, COMBATE AS ENCHENTES E SANEAMENTO;282518758,60999984;392283590,66999996;308616471,8299998;509742285,48;346913263,72000015;0
902;APOIO AO ATENDIMENTO DESCENTRALIZADO DA SAUDE;0,0;0;0;0;0;0
4105;DESENVOLVIMENTO DO TURISMO;7843557,839999999;20716806,300000004;0,0;0;0;0
101;OBRIGACOES PREVIDENCIARIAS;0,0;0,0;0,0;0,0;0,0;0
2604;GESTAO E CONTROLE  DA QUALIDADE AMBIENTAL;323282362,53000176;349819118,3299999;378071213,1399994;400648140,80000097;494742145,4700054;0
303;PROCESSO JUDICIARIO NO TRIBUNAL DE JUSTICA;5467961122,32999;6173823774,879998;7666882448,739977;8578976975,679983;9315376150,340017;10270718188,110014
2821;ECOPEFI -  ECODESENVOLVIMENTO DO PARQUE ESTADUAL DAS FONTES DO IPIRANGA;562759,22;584451,5;0,0;0;0;0
2010;CARTEIRAS AUTONOMAS DE PREVIDENCIA;102592509,49;0,0;0;0;0;0
2309;INSERCAO NO MERCADO DE TRABALHO E GESTAO DA DIVERSIDADE;0;0;33873223,480000004;34220900,49;22501760,169999998;0
927;ASSISTENCIA MEDICA AO SERVIDOR PUBLICO ESTADUAL;703525885,2500004;734497723,4900001;0,0;0,0;0,0;0
1601;PLANEJAMENTO DE LOGISTICA E TRANSPORTES;0;0;66296752,869999975;67763418,86999997;54147262,49999999;55812114,72000002
4905;FORTALECIMENTO DAS COMPETENCIAS REGULADORAS EM ENERGIA, GAS E SANEAMENTO;0;0;9927065,439999998;11655989,48;16403525,290000001;12993494,06000001
1301;TECNOLOGIAS SUSTENTAVEIS PARA O DESENVOLVIMENTO RURAL E AGROINDUSTRIAL;0;0;0;0;0;240182188,57999972
1015;FORTALECIMENTO DA COMPETITIVIDADE TERRITORIAL E REGIONAL;3643145,1999999997;9398683,75;2699181,049999999;5101010,62;8161826,66;16201703,240000002
2616;MUDANCAS CLIMATICAS E GESTAO DE RISCOS;0;0;0;620640,57;411008,54000000004;1517790,9300000002
2501;PROGRAMA DE MELHORIA HABITACIONAL;0,0;0,0;0;0;0;0
905;ATENDIMENTO  INTEGRAL  EM  SAUDE, DE CARATER;0,0;0,0;0;0;0;0
2508;PROVISAO DE MORADIAS;31171148,03;8851192,76;0,0;0,0;0,0;0
935;PRODUCAO DE VACINAS, SOROS E MEDICAMENTOS;0;0;0;0;0;217320222,57000077
1311;DEFESA SANITARIA DO AGRONEGOCIO P/ PROTECAO DA SAUDE DO HOMEM E DO MEIO AMBIENTE;95824408,04999955;85707858,48999985;109359133,2400004;115328774,54000024;120872960,02999985;0
2101;TRANSFERENCIAS FINANCEIRAS;27832168435,78001;30813687056,859997;33005038570,180008;36556928201,33;37458522370,400024;40565700804,03
3811;CUSTODIA E REINTEGRACAO SOCIAL DA POPULACAO PENAL PAULISTA EGRESSOS E FAMILIARES;0;0;2587061250,98003;0,0;0,0;0,0
