CODIGO PROGRAMA;NOME PROGRAMA;2010;2011;2012;2013;2014;2015
936;SANGUE, COMPONENTES E DERIVADOS;6290826,020000001;6296479,869999999;4298402,779999998;10764174,360000007;6749023,5200000005;0
2822;REDE SOCIAL DE SOLIDARIEDADE E CIDADANIA;164422,86;135000,0;1336758,0;3017618,18;6703084,200000004;5701877,04
1;PARTICIPACAO SOCIETARIA;2559025659,24;1357992917,69;2487805602,5899997;2096263928,87;1441860580,1200001;376261718,56
2613;GESTAO AMBIENTAL NAS REGIOES METROPOLITANAS;0;0;0,0;7480322,250000003;11775776,959999993;2861943,380000001
1017;ASSISTENCIA MEDICA, HOSPITALAR E AMBULATORIAL EM HOSPITAIS UNIVERSITARIOS;0,0;0,0;0,0;7333162,44;126093,06;0
3709;NOS TRILHOS DO DESENVOLVIMENTO;0;0;0,0;3580530,9099999997;5174237,720000002;0
1609;CONSERVACAO DA MALHA RODOVIARIA;69709085,55999999;11080123,41;17933411,509999998;0,0;0;0
1217;COMPLEXO CULTURAL LUZ;0;0;0,0;650202,03;2515434,11;0
944;RECOMECO: UMA VIDA SEM DROGAS;0;0;0;0;0;0,0
2012;FORTALECIMENTO DA GESTAO FISCAL DO ESTADO DE SAO PAULO;9045027,55;1982167,89;12000128,58;54084347,14;72487722,08999997;52996697,31999997
4413;GESTAO DO CONHECIMENTO E INOVACAO;0;0;0,0;0,0;60997,22;60394,0
1201;DIFUSAO CULTURAL;37246493,67;26983634,23;38176736,269999996;15100646,23;5875670,429999999;0
930;ATENDIMENTO INTEGRAL E DESCENTRALIZADO NO SUS/SP;668158628,72;527547304,3899987;936500510,8500057;1282079302,13;1900105905,2999916;1101099361,7500007
929;ATENDIMENTO INTEGRAL E DE ALTA COMPLEXIDADE EM ASSISTENCIA MEDICA EM SAO PAULO;85736941,08999996;397967494,20000035;461997981,8700001;3992041,21;30012,290000000005;3686,7
942;CAPACITACAO E DESENVOLVIMENTO DE PESSOAS NA AREA DA SAUDE;0;0;0;0;0;1467098,78
1207;FABRICAS DE CULTURA - PROGRAMA PARA INCLUSAO SOCIAL;24041739,560000002;19557501,02;11589244,379999999;4422865,13;848867,2999999999;64298,95
2826;COMUNICACAO SOCIAL;0;0;0,0;42955818,629999995;51153769,999999985;18020937,79
4904;GESTAO ADMINISTRATIVA EM ENERGIA;0;0;0,0;3956509,2900000005;5740998,27;3409548,4
4404;QUALIDADE EM GESTAO PUBLICA;15454086,989999998;15126572,509999994;16459415,57000001;20776786,779999997;19096789,67999998;21808776,230000004
816;APOIO ADMINISTRATIVO E SUPORTE TECNICO A EDUCACAO BASICA;0;0;0;0;0,0;615010328,3599999
3907;INFRAESTRUTURA HIDRICA, COMBATE AS ENCHENTES E SANEAMENTO;34699815,21;41146659,23000001;74287222,54;87590021,96;116674748,59000008;0
