CODIGO PROGRAMA;NOME PROGRAMA;2010;2011;2012;2013;2014;2015
936;SANGUE, COMPONENTES E DERIVADOS;54793053,970000006;54307807,20000003;63328645,92999997;75284579,61999999;80093227,21999994;0
2822;REDE SOCIAL DE SOLIDARIEDADE E CIDADANIA;7285902,55;4771700,409999998;35695844,90999996;47872184,9;63036268,41999993;63476303,519999914
1;PARTICIPACAO SOCIETARIA;2907704827,93;2031495462,15;2005047858,23;3255145893,52;4735814038,820001;4247612321,2299995
2613;GESTAO AMBIENTAL NAS REGIOES METROPOLITANAS;0;0;43625452,81000005;70136872,1500001;89312785,29999986;85368000,80999999
1017;ASSISTENCIA MEDICA, HOSPITALAR E AMBULATORIAL EM HOSPITAIS UNIVERSITARIOS;0,0;0,0;0,0;0,0;0,0;0
3709;NOS TRILHOS DO DESENVOLVIMENTO;0;0;6978948,510000004;12613954,329999994;17482165,70999999;0
1609;CONSERVACAO DA MALHA RODOVIARIA;385322224,2499999;341062430,8799999;0,0;0,0;0;0
1217;COMPLEXO CULTURAL LUZ;0;0;3273670,37;7859796,19;10000,0;0
944;RECOMECO: UMA VIDA SEM DROGAS;0;0;0;0;0;31087026,869999994
2012;FORTALECIMENTO DA GESTAO FISCAL DO ESTADO DE SAO PAULO;7759483,56;7151745,65;151622143,35000002;164764123,0499998;191032886,92000237;205161578,60999593
4413;GESTAO DO CONHECIMENTO E INOVACAO;0;0;934238,0;923624,0;792489,0;270607,06
1201;DIFUSAO CULTURAL;172574819,79999995;175524143,61;149065117,85999998;135292499,82000002;173686740,93999994;0
930;ATENDIMENTO INTEGRAL E DESCENTRALIZADO NO SUS/SP;9880050600,209969;10405293624,799805;11993231390,999846;13461658436,49997;14681952279,429548;14843802874,869814
929;ATENDIMENTO INTEGRAL E DE ALTA COMPLEXIDADE EM ASSISTENCIA MEDICA EM SAO PAULO;446437284,87000006;483532095,75999963;0,0;0,0;0,0;0,0
942;CAPACITACAO E DESENVOLVIMENTO DE PESSOAS NA AREA DA SAUDE;0;0;0;0;0;191479140,09000003
1207;FABRICAS DE CULTURA - PROGRAMA PARA INCLUSAO SOCIAL;38493801,83000002;30665173,06;0,0;0,0;0,0;0,0
2826;COMUNICACAO SOCIAL;0;0;123212992,28999999;209964443,9100001;159752934,94000003;112925088,22000001
4904;GESTAO ADMINISTRATIVA EM ENERGIA;0;0;29398865,199999984;33870798,49;31880552,839999966;35316061,8
4404;QUALIDADE EM GESTAO PUBLICA;207583407,7599984;244667458,56999972;195819656,30000004;170209320,30999988;222412439,19999984;142861196,36999997
816;APOIO ADMINISTRATIVO E SUPORTE TECNICO A EDUCACAO BASICA;0;0;0;0;8888630527,660028;4694822116,82999
3907;INFRAESTRUTURA HIDRICA, COMBATE AS ENCHENTES E SANEAMENTO;221025905,66999996;224295250,7800001;241200135,19;299609799,15000004;286330879,2099998;0
902;APOIO AO ATENDIMENTO DESCENTRALIZADO DA SAUDE;0,0;0;0;0;0;0
4105;DESENVOLVIMENTO DO TURISMO;6829141,62;17027086,889999997;0,0;0;0;0
101;OBRIGACOES PREVIDENCIARIAS;0,0;0,0;0,0;0,0;0,0;0
2604;GESTAO E CONTROLE  DA QUALIDADE AMBIENTAL;315517353,0000018;331276154,5099994;373952741,15999943;389546144,2300009;456904683,89000535;0
303;PROCESSO JUDICIARIO NO TRIBUNAL DE JUSTICA;5003958582,059997;5661370000,459999;6873089832,219975;7631245991,779982;8269172199,060012;9165825146,040016
2821;ECOPEFI -  ECODESENVOLVIMENTO DO PARQUE ESTADUAL DAS FONTES DO IPIRANGA;437542,1;454573,36;0,0;0;0;0
2010;CARTEIRAS AUTONOMAS DE PREVIDENCIA;102592509,49;0,0;0;0;0;0
2309;INSERCAO NO MERCADO DE TRABALHO E GESTAO DA DIVERSIDADE;0;0;29328764,14;28319896,34;20741844,04;0
927;ASSISTENCIA MEDICA AO SERVIDOR PUBLICO ESTADUAL;588483227,8200009;625405352,8899999;0,0;0,0;0,0;0
1601;PLANEJAMENTO DE LOGISTICA E TRANSPORTES;0;0;50396043,65999999;54343542,79999997;48842458,47;50171288,09000001
4905;FORTALECIMENTO DAS COMPETENCIAS REGULADORAS EM ENERGIA, GAS E SANEAMENTO;0;0;8087511,85;9489908,629999999;9662825,980000002;8334977,84
