CODIGO SUBFUNCAO;NOME SUBFUNCAO;2010;2011;2012;2013;2014;2015
121;PLANEJAMENTO E ORCAMENTO;25776475,13999999;16825373,699999996;74387698,24;83530823,99999997;59700160,100000076;71444017,93000002
128;FORMACAO DE RECURSOS HUMANOS;533361002,84000283;653693331,0799998;569185678,2600032;540369380,9700111;540080482,2599831;453816877,5199948
512;SANEAMENTO BASICO URBANO;58155206,41;79082906,75;48178523,61;94162059,75000001;193095977,33000007;75486160,64999999
32;CONTROLE EXTERNO;471115509,23999953;496419938,7999999;526709213,56999993;586429045,9600002;677816754,1500006;740366154,1099997
631;REFORMA AGRARIA;31257640,230000004;35997314,90999998;46715923,039999984;49066174,620000005;46048406,17000001;48024671,769999996
694;SERVICOS FINANCEIROS;10000000,0;357000000,0;20000000,0;184000000,0;32000000,0;18750000,0
31;ACAO LEGISLATIVA;642796946,3100001;675877476,5399998;748504509,9;813721284,52;866352249,1999997;967607351,2000011
126;TECNOLOGIA DA INFORMACAO;895942632,6899974;1289943423,880002;1318811230,2100031;1703195514,3000016;1707208920,6699994;1770250278,610004
606;EXTENSAO RURAL;202222732,18000096;198063278,83999977;233862335,65999982;231184184,98000026;243476273,52000093;235254085,93
782;TRANSPORTE RODOVIARIO;6220165778,899993;4368312748,420003;2623328010,309998;6508003813,849993;5500236655,389999;3597972280,060005
130;ADMINISTRACAO DE CONCESSOES;163618106,62;164129546,76999998;132678688,66999999;140919447,59999996;122089288,40000005;88114247,14
362;ENSINO MEDIO;3160823921,7900004;3540800151,400007;167813591,2900003;331076954,07;0,0;1021116100,3900009
62;DEFESA DO INTER.PUBL. PROC.JUDICIARIO;1298983384,13;1389128671,0899985;1514532769,4599988;1656555163,4299982;1777713390,5399985;2026559590,6099987
274;PREVIDENCIA ESPECIAL;65112814,83999998;120800621,17999995;66729942,99999997;40125167,54;37408159,91;42521325,31999999
122;ADMINISTRACAO GERAL;14305269869,439762;16519624983,04991;17083157622,329544;16645863479,590704;16884072956,031136;17769843239,91075
