CODIGO SUBFUNCAO;NOME SUBFUNCAO;2010;2011;2012;2013;2014;2015
121;PLANEJAMENTO E ORCAMENTO;3283427,7;6979686,189999999;5996661,350000001;15167135,16;18709416,609999996;4352728,83
128;FORMACAO DE RECURSOS HUMANOS;33124210,99999995;42951580,65999997;53389719,13999999;51993140,93999994;58078478,90999999;38901897,29000003
512;SANEAMENTO BASICO URBANO;9387236,26;5100390,8100000005;15202753,11;17875985,240000002;54543853,300000034;70607177,84
32;CONTROLE EXTERNO;43378197,85000002;48266326,93999999;43027459,40000001;46430463,74000001;46155887,14;79369822,59999995
631;REFORMA AGRARIA;3754250,209999999;3040191,090000001;5970612,729999999;11198007,859999998;8426054,200000001;10688774,110000001
694;SERVICOS FINANCEIROS;644361981,0799999;0,0;331000000,0;0,0;164000000,0;36000000,0
31;ACAO LEGISLATIVA;48286281,66000001;65165708,23999999;47950723,699999996;55636071,040000014;87924412,48000002;77655482,16
126;TECNOLOGIA DA INFORMACAO;315103821,1500001;242247845,34999967;444476710,8700002;413420094,6300004;397961378,6900003;222200464,41999966
606;EXTENSAO RURAL;18653983,09000001;17939948,339999985;59172145,37000005;41197503,710000016;58365012,84000002;29115467,359999985
782;TRANSPORTE RODOVIARIO;1389688855,5700006;553629081,4600003;1514562435,7199984;1420116670,6700013;1397388506,1200008;705394223,17
130;ADMINISTRACAO DE CONCESSOES;30440059,520000003;23776113,16000001;24793569,359999992;22699708,84;23861776,380000003;18969095,070000004
362;ENSINO MEDIO;660200511,4099997;740933322,3699981;966613375,8699999;121701047,58000001;111973154,18000007;1063170,92
62;DEFESA DO INTER.PUBL. PROC.JUDICIARIO;124545241,81;126851646,25000003;148998596,32000008;158088827,63;226934886,74000007;200523202,86
274;PREVIDENCIA ESPECIAL;4421906,75;4182182,3499999996;3407560,92;3097776,74;3101213,65;3186806,05
122;ADMINISTRACAO GERAL;1716474607,8399954;1663180548,3999991;3613115087,280024;3116130515,67003;5696881650,699954;3521880104,6800036
304;VIGILANCIA SANITARIA;124834,8;47564,41;456102,5;326740,69;326090,56000000006;1340623,8699999999
273;PREVIDENCIA COMPLEMENTAR;99789884,82999998;84659441,03999998;77158409,9;165872242,85000002;228582111,35000008;136672961,55
665;NORMALIZACAO E QUALIDADE;7011619,709999999;14239925,35;16941307,96;46788759,440000124;40832843,81999991;43607829,83999991
604;DEFESA SANITARIA ANIMAL;2990346,079999999;5706989,269999996;2602839,799999999;3341671,209999999;4082233,3899999983;0
127;ORDENAMENTO TERRITORIAL;217109005,74999997;248479382,47000018;330228404,3300001;125867580,30999996;186953394,42000002;126362188,25999999
844;SERVICO DA DIVIDA EXTERNA;0,0;0,0;0,0;0,0;0,0;0,0
182;DEFESA CIVIL;15067075,850000001;29581283,109999996;26714056,759999994;62910248,209999986;30339175,160000004;21859317,01
367;EDUCACAO ESPECIAL;2681642,530000001;3650953,26;6395727,320000003;3077901,399999999;14953325,290000001;11242699,880000006
603;DEFESA SANITARIA VEGETAL;2062511,4500000002;4767629,609999999;1845327,5599999991;3006558,789999999;4471267,3100000005;0
752;ENERGIA ELETRICA;3739946,3299999996;3110156,65;1406128,24;0,0;6442,37;94463,35
543;RECUPERACAO DE AREAS DEGRADADAS;5169088,909999996;6416715,300000001;11812013,530000003;4378792,89;11947982,419999998;10048788,639999993
123;ADMINISTRACAO FINANCEIRA;42061560,76;17066165,410000004;37865687,10999999;34769460,81999999;46855186,96000002;35667181,20999999
61;ACAO JUDICIARIA;448379396,3399998;491288846,48;482855036,45;654333183,6500001;871026076,5000002;932352553,319999
482;HABITACAO URBANA;64739420,629999995;217215495,64000002;544241022,3;119390534,16;286408616,65;14153686,590000002
331;PROTECAO E BENEFICIOS AO TRABALHADOR;173928,16;0;0,0;4939186,440000001;10332535,999999998;6269622,5600000005
361;ENSINO FUNDAMENTAL;1516194024,0699987;1626480599,6699975;2007016009,9900043;304689064,5500002;245363168,47000012;23813247,220000003
783;TRANSPORTE FERROVIARIO;1036081892,4300017;722472661,0099999;956873296,5399994;956000132,1400007;932211361,5499997;658994936,5899998
608;PROMOCAO DA PRODUCAO AGROPECUARIA;0;0;0;0;0,0;457150,11
392;DIFUSAO CULTURAL;138990858,39999995;137791390,16999945;144754702,8500005;154259092,27999994;149164931,35999998;109595274,01999998
421;CUSTODIA E REINTEGRACAO SOCIAL;106311318,12000006;141555836,35999998;158491524,8100002;159097946,41;298678448,6499995;318907250,71000004
812;DESPORTO COMUNITARIO;17652544,009999998;7128159,390000001;5685349,27;3428854,21;13255998,380000005;7216523,2
695;TURISMO;14472721,869999997;11673800,679999998;31953901,12999999;54973069,73000002;112991481,16999996;155966803,77000004
391;PATRIMONIO HISTORICO,ARTIST. E ARQUEOLOGICO;47667855,37;91321746,57000002;44531604,95999999;15529192,390000004;27452450,13;5923146,98
125;NORMATIZACAO E FISCALIZACAO;16713536,490000002;34870062,71000001;72470691,12000002;75852929,63999997;126072907,1;98331209,73999995
601;PROMOCAO DA PRODUCAO VEGETAL;2153590,35;2170512,2599999993;1246453,3;333460,4500000001;639381,0900000001;0
661;PROMOCAO INDUSTRIAL;17790466,97;23860760,72;6220712,890000001;1117971,6800000002;5466563,029999999;4268149,890000001
605;ABASTECIMENTO;0;0;0;0,0;4889533,37;1309596,38
