CODIGO SUBFUNCAO;NOME SUBFUNCAO;2010;2011;2012;2013;2014;2015
121;PLANEJAMENTO E ORCAMENTO;18645194,89999999;10705452,759999996;59141380,66000001;64121078,82999999;55761304,9200001;63637606,869999945
128;FORMACAO DE RECURSOS HUMANOS;490728086,2400031;592836120,1300048;506826676,77999973;479966219,130012;500946279,12998545;426501507,0599948
512;SANEAMENTO BASICO URBANO;52267563,870000005;63316794,930000015;24999147,740000002;26509002,22;81545949,31000003;32029759,239999995
32;CONTROLE EXTERNO;420600409,3599998;454707891,76999974;479382873,18000007;537723223,0299999;599803938,82;663092724,9099994
631;REFORMA AGRARIA;28212449,12000001;29934358,56999999;34390618,210000016;35608436,19;40514233,51000001;43598048,50000001
694;SERVICOS FINANCEIROS;10000000,0;22000000,0;20000000,0;0,0;16000000,0;18750000,0
31;ACAO LEGISLATIVA;567573939,4000002;624707720,8000001;685992499,76;718921019,0400002;781626038,2899995;867903798,5000006
126;TECNOLOGIA DA INFORMACAO;628821765,0899997;797391283,8199981;901577750,0100021;1261750629,2000036;1430080432,5400002;1326499452,6699998
606;EXTENSAO RURAL;176808857,23000035;122805858,83000027;180016842,40999994;204646090,61999995;217418664,1000008;200502053,5599996
782;TRANSPORTE RODOVIARIO;5463874649,730003;2417158322,2600036;1509705769,500001;4952405771,520002;4856364804,979994;3190254246,2100015
130;ADMINISTRACAO DE CONCESSOES;139006903,48;138241045,6899999;109524866,90000002;117563247,98000003;98735708,96000005;63224358,699999996
362;ENSINO MEDIO;2436089104,4500003;2579576428,930009;71266169,28999995;199359317,19000018;0,0;945953018,5799992
62;DEFESA DO INTER.PUBL. PROC.JUDICIARIO;1168989114,0800009;1237172039,089999;1352967925,3799982;1426700074,7899988;1573124907,629999;1764068731,8799994
274;PREVIDENCIA ESPECIAL;60930632,48999998;117393060,25999996;63632166,259999976;37023953,89;34221353,86;39086015,71
122;ADMINISTRACAO GERAL;11443104928,009642;12745571857,299782;14069061584,709705;12417734925,130625;13257931574,130974;14567880971,230646
304;VIGILANCIA SANITARIA;776422,7799999999;881157,1300000001;1203291,38;1943639,8500000008;2048427,8199999998;7297632,760000002
273;PREVIDENCIA COMPLEMENTAR;1157942266,5200007;1180502368,609999;1251425704,7600017;1370250091,6199992;1323129264,3700016;1482856420,230001
665;NORMALIZACAO E QUALIDADE;13394838,66;14234299,96;279594526,30000085;299594022,38000166;331250081,869995;334385202,46000093
604;DEFESA SANITARIA ANIMAL;46859095,48000009;43960573,220000036;52429187,89999998;50942164,54000006;0,0;0
127;ORDENAMENTO TERRITORIAL;439729811,9499999;156512429,07000008;245205872,79000002;148859788,19999984;312308028,94000024;100424005,71999997
844;SERVICO DA DIVIDA EXTERNA;345646940,01;358561050,14000005;421719719,41999996;559113147,6199999;724658528,48;1157213656,0000002
182;DEFESA CIVIL;29862359,30999998;22345507,59000003;23154084,80999999;26239592,71999998;25319331,160000052;35825668,12000003
367;EDUCACAO ESPECIAL;111225532,52000014;135537698,66000006;131973557,41000004;164063869,01;197333912,07000032;204140161,55000007
603;DEFESA SANITARIA VEGETAL;30343703,53999998;29955213,70000002;36891586,18999996;35935110,78999991;0,0;0
752;ENERGIA ELETRICA;4489,07;40637932,67;36310131,0;20780344,880000003;25405536,65;19007260,0
543;RECUPERACAO DE AREAS DEGRADADAS;19357445,359999992;17458233,26;4829188,59999999;13542802,579999996;14401555,340000011;19987350,779999986
123;ADMINISTRACAO FINANCEIRA;88676643,47999999;81786566,69000003;94190621,71999995;94440987,1099999;105264687,32000022;123097858,13000005
61;ACAO JUDICIARIA;5037491891,179996;5627363062,209997;6778683216,679978;7409103044,999988;8065396042,450001;9056066945,640017
482;HABITACAO URBANA;1067923283,3100001;879135248,0200001;954070663,88;1094188126,02;1346912689,77;1025132172,99
331;PROTECAO E BENEFICIOS AO TRABALHADOR;0,0;0;31721270,78;38830786,93;42813424,68000001;32670456,330000006
361;ENSINO FUNDAMENTAL;9410244130,099949;6583473500,69001;640548325,5399976;771894942,9300001;37293455,46;13339407,639999999
783;TRANSPORTE FERROVIARIO;2657348524,2399964;2285184316,780003;2128941176,1399987;2123855082,1800108;2746887598,28;2875976824,0999937
608;PROMOCAO DA PRODUCAO AGROPECUARIA;0;0;0;0;6399678,35;5047957,410000002
392;DIFUSAO CULTURAL;553687998,4299998;512147914,3700004;618413091,3199991;689915548,3699995;735085683,3400012;712314897,2600006
421;CUSTODIA E REINTEGRACAO SOCIAL;126074060,67000002;135618019,96000007;189738527,06000027;2516222699,1098514;2859419612,9692903;3124850410,0099435
812;DESPORTO COMUNITARIO;10750806,300000003;3084086,62;14123896,200000001;6802263,52;48206007,120000005;21239018,51
695;TURISMO;12954632,400000004;23638839,64999998;180175021,62999976;86358162,54999998;123289758,1499997;51339004,739999935
391;PATRIMONIO HISTORICO,ARTIST. E ARQUEOLOGICO;140805785,04;113680561,83999997;106845890,61000001;129449622,89999998;140672373,88;134489369,03000003
125;NORMATIZACAO E FISCALIZACAO;224006084,44000039;277907657,09999996;320650077,3600004;431233176,87000036;487565303,35999995;567746585,0700011
601;PROMOCAO DA PRODUCAO VEGETAL;9895091,930000005;8131155,520000004;8890716,280000007;6851822,829999995;0,0;0
661;PROMOCAO INDUSTRIAL;7069223,390000001;12021469,209999999;10372286,330000002;12626027,74;17892726,749999993;21598142,220000003
605;ABASTECIMENTO;0;0;0;0,0;0,0;3497494,81
609;DEFESA AGROPECUARIA;0;0;0;0;90395212,67999971;87634544,80000032
813;LAZER;7231327,1;5874896,49;3388927,96;4255049,49;9963094,59;3790076,98
