CODIGO UNIDADE GESTORA;NOME UNIDADE GESTORA;2010;2011;2012;2013;2014;2015
103101;INST.PESQ.TECNOL.EST.SP. S.A.;160342827,20999974;170902333,22999966;163671152,80000016;179843026,47999993;187507908,07999986;204966024,4600001
120113;UNIDADE DE BIBLIOTECAS E LEITURAS;75596,03000000001;7297998,140000001;9769386,709999995;16699816,300000003;20871011,139999993;15762568,979999995
180131;DELEG.SECC.POLICIA DE PIRACICABA;21257227,250000007;21417788,65000001;25218022,34000002;28798412,130000014;33619879,32;37111152,83
20030;FED-FUNDO ESPEC.DESPESA DO TRIBUNAL DE CONTA;3369870,75;1789634,87;2025830,48;3574309,55;5066644,0200000005;8882529,530000001
130104;ADM.COORD.ASSIST.TEC.INTEGRAL;8609455,09;8991726,500000006;11487320,119999997;14553874,139999991;25397017,779999983;17862545,15999999
380244;CDP.ASP SANDRO ALVES DA SILVA DE SERRA AZUL;0;0;0;0;0;13992093,370000008
380244;CTO. DE DETENCAO PROVISORIA DE SERRA AZUL;9534803,509999998;11185496,440000003;11970763,460000003;11696007,79;13120192,159999976;0
92301;HOSP. DAS CLINICAS, SAO PAULO;862305480,7800006;951929239,1300015;1004790105,3299993;1232610468,5899997;1236856525,4899979;1456500662,1799998
80106;SERVICO DE ADMINISTRACAO-DSE;1641761,8299999996;1939191,76;0,0;0,0;0,0;0
380232;CTO DETENCAO PROVIS.TACIO AP.SANTANA DE CAIU;11027638,329999998;11963965,470000003;14448129,250000004;16345831,89999999;18233501,439999994;20641985,00000001
80270;DIR.ENS.REGIAO NORTE 2;126249370,08000006;132697016,14999995;149675224,26999995;178386019,83000016;202442127,23999998;217780616,58000007
270031;FED-CTO.ESTUDOS E APER.MINIST.PUBLICO;752902,29;991678,1100000002;1172843,4200000002;1328533,5199999998;1034900,2000000001;1496899,5400000003
380166;PENIT. DE RIBEIRAO PRETO;13412106,67;15269653,089999998;17115815,059999995;18061948,639999997;18685411,089999977;20634909,140000004
