CODIGO UNIDADE GESTORA;NOME UNIDADE GESTORA;2010;2011;2012;2013;2014;2015
103101;INST.PESQ.TECNOL.EST.SP. S.A.;160342827,20999974;170902333,22999966;163671152,80000016;179843026,47999993;187507908,07999986;198101652,8500001
120113;UNIDADE DE BIBLIOTECAS E LEITURAS;75596,03000000001;7297998,140000001;9769386,709999995;16699816,300000003;20871011,139999993;15762568,979999995
180131;DELEG.SECC.POLICIA DE PIRACICABA;21257227,250000007;21417788,65000001;25218022,34000002;28798412,130000014;33619879,32;37089716,57999999
20030;FED-FUNDO ESPEC.DESPESA DO TRIBUNAL DE CONTA;3369870,75;1789634,87;2025830,48;3574309,55;5066644,0200000005;8882529,530000001
130104;ADM.COORD.ASSIST.TEC.INTEGRAL;8609455,09;8991726,500000006;11487320,119999997;14553874,139999991;25397017,779999983;16700943,859999985
380244;CDP.ASP SANDRO ALVES DA SILVA DE SERRA AZUL;0;0;0;0;0;13990377,130000008
380244;CTO. DE DETENCAO PROVISORIA DE SERRA AZUL;9534803,509999998;11185496,440000003;11970763,460000003;11696007,79;13120192,159999976;0
92301;HOSP. DAS CLINICAS, SAO PAULO;862305480,7800006;951929239,1300015;1004790105,3299993;1232610468,5899997;1236856525,4899979;1444505580,689999
80106;SERVICO DE ADMINISTRACAO-DSE;1641761,8299999996;1939191,76;0,0;0,0;0,0;0
380232;CTO DETENCAO PROVIS.TACIO AP.SANTANA DE CAIU;11027638,329999998;11963965,470000003;14448129,250000004;16345831,89999999;18233501,439999994;20594958,18000001
80270;DIR.ENS.REGIAO NORTE 2;126249370,08000006;132697016,14999995;149675224,26999995;178386019,83000016;202442127,23999998;217038757,98000008
270031;FED-CTO.ESTUDOS E APER.MINIST.PUBLICO;752902,29;991678,1100000002;1172843,4200000002;1328533,5199999998;1034900,2000000001;1264325,4100000004
380166;PENIT. DE RIBEIRAO PRETO;13412106,67;15269653,089999998;17115815,059999995;18061948,639999997;18685411,089999977;20634909,100000005
90105;COORD. RECURSOS HUMANOS - CRH;151642262,2400001;179766550,39;180279604,92999992;224021374,55000016;245974959,60000026;279358998,6699999
441101;FUNDACAO DO DESENVOLVIMENTO ADMINISTRATIVO;223406908,1699982;260717802,81999978;219857855,1000002;190799974,03999984;245311885,31999996;0,0
90128;HOSP. NESTOR GOULART REIS;8781530,54;10307373,430000009;12533904,749999993;14217043,779999994;15027042,04999999;15193908,199999986
400105;PROCUR.JUDICIAL;29289616,479999993;33346448,899999995;33715915,610000014;32392844,359999985;33900011,020000026;37641988,54
180248;9. BATALHAO POL.MIL.INT. MARILIA;3020908,480000001;2024452,1000000015;0,0;0;0;0
350105;ADM.COORD. DE ACAO SOCIAL;1208183,32;2169938,49;1377756,6099999999;1610877,8799999994;1638605,2500000002;1586157,15
80104;ADMINIST.CONSELHO ESTADUAL DE EDUCACAO;2021260,7600000005;2153481,55;5192266,739999999;3018438,6999999993;3167529,1599999983;2635166,8500000006
130209;ESC. DEF. AGROP. REGISTRO;1331535,9499999986;1487602,4200000006;1790542,45;1801611,2500000005;1692138,5799999998;1691599,7800000003
380224;PENIT.SGTO.PM ANTONIO LUIZ SOUZA-REGINOPOLIS;8338620,590000002;9156197,049999997;10497274,629999995;10965810,030000014;12248878,369999982;13609435,289999995
90127;UG EM OUTRA UO: 09012DESPESAS_ELEMENTO;0;0;0;6654889,599999995;0,0;0
90033;FED-CTO. REABILITACAO DE CASA BRANCA;19847,46;19763,9;18953,0;14362,02;18029,03;26204,329999999998
380203;PENIT. DE PARAGUACU PAULISTA;11408953,97000001;12069347,63;13664675,120000005;14612686,479999991;16605622,989999926;18817591,05999999
