CODIGO UNIDADE GESTORA;NOME UNIDADE GESTORA;2010;2011;2012;2013;2014;2015
103101;INST.PESQ.TECNOL.EST.SP. S.A.;44141355,539999984;29442433,48;33719260,53999999;28179091,37999999;18412672,7;16333290,940000005
120113;UNIDADE DE BIBLIOTECAS E LEITURAS;0,0;14107,79;423001,48000000004;503301,29;4727853,95;33067,33
180131;DELEG.SECC.POLICIA DE PIRACICABA;1303326,15;1308411,3099999996;1384743,2999999998;1826543,6299999997;2329774,7800000007;3766127,840000001
20030;FED-FUNDO ESPEC.DESPESA DO TRIBUNAL DE CONTA;0,0;524596,0;475999,34;1665640,53;710615,7800000001;4864631,579999999
130104;ADM.COORD.ASSIST.TEC.INTEGRAL;662158,1199999999;1222133,96;2556736,140000001;3247604,2900000005;6285752,73;6660907,980000001
380244;CDP.ASP SANDRO ALVES DA SILVA DE SERRA AZUL;0;0;0;0;0;1068042,1500000001
380244;CTO. DE DETENCAO PROVISORIA DE SERRA AZUL;716925,1900000002;843383,56;1030595,4099999999;789075,85;921493,62;0
92301;HOSP. DAS CLINICAS, SAO PAULO;85736941,08999996;403228403,99000037;472754583,09000015;520224651,72;658984650,0599995;560183465,1199996
80106;SERVICO DE ADMINISTRACAO-DSE;419869,68000000005;140633,01;129770,43000000001;27670,31;23654,69;0
380232;CTO DETENCAO PROVIS.TACIO AP.SANTANA DE CAIU;705608,64;778753,5699999998;840942,12;1044320,9799999999;1467751,9400000002;1444413,3199999998
80270;DIR.ENS.REGIAO NORTE 2;8611517,39;8830138,14;10423690,51;12065537,509999998;16563492,030000001;18448642,48
270031;FED-CTO.ESTUDOS E APER.MINIST.PUBLICO;104057,57;111343,71999999997;52776,18;90354,27;150782,18;101666,88000000002
380166;PENIT. DE RIBEIRAO PRETO;1051081,3199999998;1037091,51;1418071,3499999999;1216763,04;1408230,1499999997;1475442,4500000002
90105;COORD. RECURSOS HUMANOS - CRH;995179,65;1645823,01;9951607,890000002;6276127,49;22376829,159999996;1698630,7500000002
441101;FUNDACAO DO DESENVOLVIMENTO ADMINISTRATIVO;15454086,989999998;15126572,509999994;16676844,64000001;20776786,779999997;19096789,67999998;21808776,230000004
90128;HOSP. NESTOR GOULART REIS;705304,6500000001;708077,29;820286,5700000001;1156604,05;1253463,48;1052317,8
400105;PROCUR.JUDICIAL;1551532,2899999998;1914764,41;2053369,0199999998;2056755,8799999994;2015012,1400000001;2193606,13
180248;9. BATALHAO POL.MIL.INT. MARILIA;554869,1299999997;401064,60999999987;201078,38;0;0;0
350105;ADM.COORD. DE ACAO SOCIAL;83677,79;73142,76999999999;1123619,76;109181,82;116484,83;131318,79
80104;ADMINIST.CONSELHO ESTADUAL DE EDUCACAO;264826,32;314022,32999999996;379213,91000000003;252254,19999999998;841548,84;238768,13999999996
130209;ESC. DEF. AGROP. REGISTRO;81846,42;83090,27;97408,54999999997;111503,24;125473,74;124033,11
380224;PENIT.SGTO.PM ANTONIO LUIZ SOUZA-REGINOPOLIS;541182,2999999999;578428,3000000003;626306,58;768945,64;914423,7700000001;927213,7799999997
90127;UG EM OUTRA UO: 09012DESPESAS_ELEMENTO;0;0;0;0,0;0,0;0
90033;FED-CTO. REABILITACAO DE CASA BRANCA;18540,15;0,0;1747,0;5309,0;0,0;0,0
380203;PENIT. DE PARAGUACU PAULISTA;817685,2500000001;837038,1;865955,0699999997;1230483,93;1308442,8599999999;1362058,8800000001
90187;INST.PAULISTA DE GERIATRIA E GERONTOLOG.-IPG;622101,0400000003;843383,1100000001;959177,03;2384618,2600000002;1382532,1699999997;930216,5400000002
180317;DELEG.SECC.POLICIA DE SOROCABA;3348357,309999998;3200912,170000001;4439687,7700000005;4115693,439999999;5440520,879999999;6362126,009999999
410109;DIVISAO DE OPERACOES E ATIVIDADES;12756,66;13198,800000000001;0;0;0;0
440105;UNID.COORD. ESTADUAL PNAGE/SP;0,0;9257,5;0;0;0;0
280102;DEPARTAMENTO DE ADMINISTRACAO;3314496,880000001;4937433,969999997;7206791,520000002;5850193,94;7215649,12;7299422,17
380201;PEN.VEREADOR FREDERICO GEOMETTI DE LAVINIA;732972,3399999999;802549,75;875934,1699999999;1067816,2200000002;1446938,1600000004;1644031,7800000007
180283;DELEG.SECC.POLICIA DE JACAREI;957367,2000000001;753436,6000000001;810631,95;923072,6099999998;1149460,1199999999;1354484,4399999995
90162;UN. GESTAO ASSIST.III - HOSP.INF.DARCY VARGA;4382072,029999999;3342320,33;4471993,169999998;4724158,559999997;5509839,15;4188317,6
90118;HOSP.GERAL PREF. MIGUEL GUALDA DE PROMISSAO;1506925,9400000002;1779429,3699999994;3287605,740000001;2727435,6;5538206,6099999985;2822286,610000001
400112;PROCUR.REGIONAL DE TAUBATE;302473,26000000007;367884,88;449446,11000000004;408387,69;405666,26000000007;415844,62999999995
380169;CENTRO DE DETEN. PROV.CHACARA BELEM I;1713399,8499999999;1445059,1400000004;2198067,2299999995;2324948,58;2990874,97;1432182,88
180119;DEPTO.ADM.PLANEJ.POLICIA CIVIL - DAP;7550816,410000002;10277553,28;13120642,33;4310554,62;-45732012,05000001;3874563,43
180310;DELEG.SECC.POLICIA DE CATANDUVA;936578,4700000001;845573,1299999998;917868,5199999999;967678,1599999999;1283392,0200000003;1349522,97
380145;CENTRO PROGR.PENIT.PROF.NOE AZEVEDO;0;0;0;0;0;1680022,9000000006
410102;DIVISAO DE ADMINISTRACAO;0,0;0,0;0;0;0;0
380261;PENITENCIARIA DE BERNARDINO DE CAMPOS;0;0;0;0;0,0;1384346,2699999998
380189;CDP. LUIS CESAR LACERDA DE SAO VICENTE;672013,0299999999;654063,0900000003;961891,1500000001;1105488,0699999996;2597513,9699999997;2754840,5100000002
130101;GAB. SECRETARIO E ASSESSORIAS;39386846,12000001;51517964,07999998;120354828,20000002;79965088,81;144913990,25000006;78263386,02
162103;PRIMEIRA DIV.REG.DE CAMPINAS-DR-1;287385,54000000004;1738359,5;1222946,79;2271590,4100000006;1451147,63;1064371,54
90125;DEPTO.REG.SAUDE - DRS-VIII FRANCA;1992919,5100000014;4487329,86;5134928,45;2388493,370000001;9431328,560000004;2439024,7400000007
130035;FED-INSTITUTO BIOLOGICO;204128,41999999998;201928,71000000002;143618,24000000002;55975,59999999999;104783,15000000002;62139,46
102301;UNIV.EST.PAULISTA, JULIO MESQUITA FILHO;0,0;0,0;1144154785,7299592;1035834112,1500025;1022169717,12;958932421,9699997
280109;UNIDADE DE COORD. ESTADUAL PNAGE/SP;0,0;0,0;0;0;0;0
180105;DEPTO.POL.JUD.SP.INTERIOR - SJCAMPOS;509813,37999999995;522260,98000000004;464816,47000000003;532903,5499999999;798715,0900000002;952134,5800000001
380199;PENIT.ASP ADRIANO AP. DE PIERI, DE DRACENA;804112,79;872144,04;930701,3800000001;1085585,08;1386673,2899999996;1579483,7700000007
90125;UG EM OUTRA UO: 09012DESPESAS_ELEMENTO;0;0;0;0,0;13803,23;0
450102;UNIDADE DE MARKETING - SECOM;26500445,060000002;24014882,07;14974,5;0;0;0
130216;ESC. DEF. AGROP. VOTUPORANGA;85452,37000000001;77380,81;78252,5;108197,87;136682,55;141471,14
280030;FED-DEPTO.DE INFRAESTRUTURA;79440,0;0,0;0,0;0,0;0,0;0
510104;UNIDADE DO ARQUIVO PUBLICO DO ESTADO;0;0;0;0;0;0,0
512301;AG. METROPOLITANA DA BAIXADA SANTISTA;0;0;0;0;0;0,0
180112;DELEG.SECC.POLICIA DE PRES.PRUDENTE;1475285,3499999999;1614728,2999999993;2167848,269999999;2181385,999999999;2674499,2699999986;3315874,82
380222;CTO. DETEN. PROV. DE AMERICANA;934546,4299999999;1216932,95;1431709,0400000003;1749879,6000000003;0;0
380109;PENIT. ZWINGLIO FERREIRA DE PRES.VENCESLAU;1335048,0500000003;1441696,8599999996;1571899,9499999997;1565173,6900000002;2046757,2599999998;2196022,3399999994
180288;DELEG.SECC.POLICIA DE BRAG.PAULISTA;1362484,6700000002;1463982,2400000012;1366723,4900000014;1501491,8900000004;2056135,9200000002;2588667,4000000004
90144;CTO.DES.PORTADOR.DEFIC.MENTAL - ITU;561218,73;669336,6699999999;1062411,98;1589732,77;811147,25;865372,1100000001
