CODIGO UNIDADE GESTORA;NOME UNIDADE GESTORA;2010;2011;2012;2013;2014;2015
103101;INST.PESQ.TECNOL.EST.SP. S.A.;135594068,43999988;134248371,54999986;137069193,7500001;160040029,69999987;170092381,1200002;172994243,58999994
120113;UNIDADE DE BIBLIOTECAS E LEITURAS;61488,24;6777120,610000001;9266085,419999994;11953267,600000001;20837943,809999995;14183566,029999996
180131;DELEG.SECC.POLICIA DE PIRACICABA;19948815,939999994;20033045,35;23391478,709999997;26453509,850000005;29853751,440000005;34167133,03
20030;FED-FUNDO ESPEC.DESPESA DO TRIBUNAL DE CONTA;2514275,41;1644634,87;357588,6400000001;1693784,6300000001;891648,8200000001;5370866,170000001
130104;ADM.COORD.ASSIST.TEC.INTEGRAL;7314916,520000002;6432150,360000008;8239715,83;8263593,509999998;18730016,789999995;15620699,85999999
380244;CDP.ASP SANDRO ALVES DA SILVA DE SERRA AZUL;0;0;0;0;0;12938592,170000011
380244;CTO. DE DETENCAO PROVISORIA DE SERRA AZUL;8673078,480000004;10151513,729999997;11172434,160000008;10761559,58;12052150,009999981;0
92301;HOSP. DAS CLINICAS, SAO PAULO;448751488,99000007;483839457,6799996;482697400,41999924;560170369,1799996;669512550,3700005;873401614,3400011
80106;SERVICO DE ADMINISTRACAO-DSE;1309085,77;1627138,63;0,0;0,0;0,0;0
380232;CTO DETENCAO PROVIS.TACIO AP.SANTANA DE CAIU;10248663,760000002;11123022,950000001;13403808,270000001;14876512,189999994;16788832,37999998;18940738,28999999
80270;DIR.ENS.REGIAO NORTE 2;117278142,00000004;122243439,01999994;137161317,01999992;161733203,9500003;183799589,71999997;201381851,7200001
270031;FED-CTO.ESTUDOS E APER.MINIST.PUBLICO;527001,57;787473,7899999998;973697,3900000001;1010646,4999999997;852476,2399999996;895038,31
380166;PENIT. DE RIBEIRAO PRETO;12372911,600000005;13849841,000000002;15897739,699999992;16651596,54999999;17209968,639999993;19075656,79
90105;COORD. RECURSOS HUMANOS - CRH;149829864,83000007;169574345,41;173587854,45999992;201218429,02;244127860,7600002;276392537,64999986
441101;FUNDACAO DO DESENVOLVIMENTO ADMINISTRATIVO;207589025,21999845;244667458,56999972;195819656,30000004;170209320,30999988;222412439,19999984;0,0
90128;HOSP. NESTOR GOULART REIS;8135050,939999997;9487086,810000004;11208772,179999992;12961467,509999994;13972402,489999985;14198376,309999982
400105;PROCUR.JUDICIAL;27374493,98;31283684,879999988;31631092,230000004;30311564,629999988;31681384,500000026;35268306,67000001
180248;9. BATALHAO POL.MIL.INT. MARILIA;2672913,43;1822691,7200000011;0,0;0;0;0
350105;ADM.COORD. DE ACAO SOCIAL;1135040,55;1046318,7299999997;1268574,7899999996;1494393,0499999998;1507286,4600000002;1464321,65
80104;ADMINIST.CONSELHO ESTADUAL DE EDUCACAO;1644377,3200000005;1591952,2800000007;3908230,0600000015;2708912,2599999993;2923835,629999998;2425310,7400000007
130209;ESC. DEF. AGROP. REGISTRO;1248445,6799999988;1390193,8700000003;1679039,2099999997;1676134,4400000004;1568105,47;1564908,2400000005
380224;PENIT.SGTO.PM ANTONIO LUIZ SOUZA-REGINOPOLIS;7760192,289999998;8529890,469999999;9728328,989999995;10049783,010000011;11321489,639999988;12580525,879999997
90127;UG EM OUTRA UO: 09012DESPESAS_ELEMENTO;0;0;0;6654889,589999995;0,0;0
90033;FED-CTO. REABILITACAO DE CASA BRANCA;19847,46;18016,9;13644,0;14362,02;18029,03;21385,38
380203;PENIT. DE PARAGUACU PAULISTA;10571647,160000004;11200313,970000003;12410256,870000012;13294619,700000001;15243564,109999927;17312927,459999986
90187;INST.PAULISTA DE GERIATRIA E GERONTOLOG.-IPG;7713241,349999999;8700515,3;10050144,129999999;10924917,590000004;11583487,610000009;11540960,960000005
180317;DELEG.SECC.POLICIA DE SOROCABA;46639744,32000001;47151147,81;56327653,82000002;61974022,19999996;69576130,11000007;75286852,10999998
410109;DIVISAO DE OPERACOES E ATIVIDADES;194568,47999999986;69732,34;0;0;0;0
440105;UNID.COORD. ESTADUAL PNAGE/SP;357995,0;0,0;0;0;0;0
280102;DEPARTAMENTO DE ADMINISTRACAO;57379192,97000002;65513108,68;76661736,14999992;85675450,16999999;95819182,35000001;0,0
380201;PEN.VEREADOR FREDERICO GEOMETTI DE LAVINIA;10644659,689999998;11689736,489999995;13602643,510000004;14540792,679999959;16519404,729999946;18751107,889999997
