CODIGO UNIDADE ORCAMENTARIA;NOME UNIDADE ORCAMENTARIA;2010;2011;2012;2013;2014;2015
10066;FACULDADE DE MEDICINA DE SAO JOSE DO R. PRET;0;0,0;5959618,810000001;7171801,920000003;4563881,470000001;11017810,71
39001;SECRETARIA DE SANEAMENTO E RECURSOS HIDRICOS;97783461,13999999;24551045,960000005;51044559,84;134243499,78;236699348,10000008;134458430,10999998
48056;AGENCIA METROPOLITANA DE CAMPINAS-AGEMCAMP;0;0,0;678654,5;203157,63999999993;215757,83;0
8012;COORD.INF.MONITORAMENTO AVALIACAO EDUCACIONA;0;0;0,0;118859171,99999999;113323145,00000001;37877441,919999994
9056;HOSPITAL DAS CLINICAS FAC. MEDICINA RIB PRET;23953165,82999998;23846680,290000007;33653236,57000001;43073749,289999984;55126158,29999998;39486788,79999996
29057;DEPARTAMENTO ESTADUAL DE TRANSITO-DETRAN-SP;0;0;0;0,0;102995350,99999994;115778069,70999995
41004;ESTRADA DE FERRO CAMPOS DO JORDAO;1994634,7300000002;1495133,6899999997;481289,88;391085,12;0;0
8046;FUNDACAO  PARA O DESENVOLVIMENTO DA EDUCACAO;6312710,790000002;7709780,27;5095152,490000003;6707303,73;54632545,09000001;83640917,68999997
16001;ADMINISTRACAO SUP.DA SECRETARIA E DA SEDE;876833041,69;383841655,11;339825794,7099999;459598583,83000004;46786059,469999984;28886941,63
45001;SECRETARIA DE COMUNICAÇAO;29626772,680000003;25697708,97;14974,5;0;0;0
28059;AGENCIA METROPOLITANA DE CAMPINAS-AGEMCAMP;0;0;0;0;0,0;262859,18000000005
26001;SECRETARIA DO MEIO AMBIENTE;33404481,70000001;44063286,010000005;32225240,630000025;26062881,22000004;36278956,58999998;42169071,90000001
10058;UNIVERSIDADE DE SAO PAULO - USP;0,0;0,0;2098845291,8200028;2356250410,620003;2505684373,669999;1642743538,72
18002;POLICIA CIVIL DO ESTADO DE SAO PAULO;196135821,03999984;238882515,1399998;290016399,71000093;271131355,9200007;316132193,5000003;314799772,08999985
8008;COORD.ESTUDOS E NORMAS PEDAGOGICAS;245165253,92999998;257799447,35000002;145172766,43;4123302,9199999995;1359176,44;708,19
12046;FUNDACAO MEMORIAL DA AMERICA LATINA;0;0,0;1131832,8499999999;1359871,3099999998;1719597,3499999994;1653681,6099999996
38045;FUND.PROF.DR.MANOEL PEDRO PIMENTEL-FUNAP;3680947,099999999;5891816,569999997;5193197,880000001;2134513,7999999975;3803569,6599999936;3956088,820000001
9001;ADMINISTRACAO SUPERIOR SECRETARIA E SEDE;105944500,53999999;105759791,48;482738670,90999913;397791689,4300003;305774264,4399997;213385484,45000002
51002;CASA CIVIL;0;0;0;0;0;0,0
28003;CASA MILITAR;11722376,9;10120400,120000003;9395576,31;7175809,550000002;15274563,450000003;12428812,79
10091;INST.PESQUISAS TECN.EST.DE S.P.S/A-IPT;44141355,539999984;29442433,48;33719260,53999999;28179091,37999999;18412672,7;16333290,940000005
21003;ENCARGOS GERAIS DE PESSOAL;42086604,64;79701915,10999998;49109357,110000014;50730148,14;101751966,6;111472051,75
44047;FUNDAÇAO DESENVOLV.ADMINISTRATIVO - FUNDAP;15454086,989999998;15126572,509999994;16676844,64000001;20776786,779999997;19096789,67999998;21808776,230000004
16056;DEPARTAMENTO AEROVIARIO DO ESTADO DE SP-DAES;8822580,950000001;13275259,289999997;32270484,63000001;30906367,589999996;34399537,229999974;29937313,19
38006;COORD.UNID.PRISIONAIS REG.NOROESTE DO ESTADO;24682554,60000001;27395851,16999999;37899824,37999999;35534141,400000006;49838169,21000008;53556102,51000005
29055;AGENCIA METROPOLIT.DA BAIXADA SANTISTA-AGEM;250102,03;154375,73000000007;0;0;0;0
29049;FUNDAP - FUND. DESENV. ADMINISTRATIVO;0;0;0;0;0;0,0
20055;BOLSA OFICIAL DE CAFE E MERCADORIAS DE SANTO;195,42;0;0;0;0;0
28092;EMPRESA PAULISTA DE PLANEJ.METROPOLITANO S.A;0;0;0;0;0,0;4471495,540000001
16002;DEPARTAMENTO HIDROVIARIO;2756317,97;1231176,9300000002;3856752,3800000004;22396393,190000005;32280599,699999996;55200983,16000001
20002;COORDENADORIA DA ADMINISTRACAO TRIBUTARIA-CA;183512659,05999997;211558855,77000013;214463329,73000008;234861074,89000002;243470506,75000003;117166350,22999993
21002;ENCARGOS GERAIS DO ESTADO;221762360,31;29561526,57;61941880,03;3305169,9200000004;41054223,63;5160173,5200000005
10067;JUNTA COMERCIAL DO ESTADO DE SAO PAULO-JUCES;0;0;0,0;1630410,0099999998;10365929,130000003;9718181,430000003
43065;FACULDADE DE MEDICINA DE MARILIA - FAMEMA;2299272,349999999;1582776,7599999995;0,0;0,0;0,0;0
24004;ESTRADA DE FERRO CAMPOS DO JORDAO;0,0;0,0;0;0;0;0
35009;COORD. DE SEGURANCA ALIMENTAR E NUTRICIONAL;0;0;0,0;11841020,91;15783546,439999994;2012655,8499999999
8011;COORDENADORIA DE GESTAO DA EDUCACAO BASICA;0;0;0,0;101603290,92999998;169835051,36000004;38189298,58000002
29002;DEPARTAMENTO ESTADUAL DE TRANSITO-DETRAN;0;0;0,0;88854304,63000001;4718280,140000001;0
3001;TRIBUNAL DE JUSTICA;425676828,29999983;447501709,99000037;483274567,8300001;676906200,3900001;895238095,4200002;942911943,569999
17001;SEC. DA JUSTIÇA E DA DEFESA DA CIDADANIA;23268772,71;43843456,95999999;39567919,400000006;42192058,92;83003917,11000003;69079265,44
9007;COORD. DE CONTROLE DE DOENCAS;31773791,51000001;34169843,449999966;45103492,63000004;38123957,36000002;58239974,33;53863913,50999999
18005;CORPO DE BOMBEIROS;15728978,030000003;42716371,66999999;36647916,71000002;67028718,91999998;35815375,61000004;21865610,700000007
37001;ADMINISTRACAO SUPERIOR DA SEC. E DA SEDE;1166869490,0399995;1387545124,27;1560885442,4299998;1692310884,5199993;1446155809,3899999;518866031,7999999
43059;UNIVERSIDADE ESTADUAL DE CAMPINAS-UNICAMP;391772650,77999985;549097700,0300003;8778,86;0;583031664,5100001;0
29058;IAMSPE - INST.ASSIST.MEDICA SERV.PUBL.ESTAD.;0;0;0;0;0;0,0
12001;SECRETARIA DA CULTURA;114902835,93;123099549,46999995;95264424,29999995;63170504,87999998;101266770,59;66949068,429999985
10059;UNIVERSIDADE ESTADUAL DE CAMPINAS - UNICAMP;0;0,0;934751971,8900023;1031560184,2199998;513062598,6199996;565939600,3899989
26004;COORD.DE PLANEJ.AMB.ESTRAT.E ED.AMBIENTAL;0,0;0;0;0;0;0
38008;COORDENADORIA DE SAUDE DO SIST.PENITENCIARIO;3023891,32;3365549,920000001;3954709,2600000002;5958036,800000003;9860627,61000001;16958039,08
9055;SUPERINTENDENCIA DE CONTROLE ENDEMIAS-SUCEN;6929694,730000007;10161078,44;15403521,63;14768773,340000002;17067930,1;12984764,889999986
44002;DEPARTAMENTO ESTADUAL DE TRANSITO - DETRAN;0;0,0;62767192,98000001;13017527,320000002;298419,71;0
18003;DEPARTAMENTO ESTADUAL DE TRANSITO;27985574,890000004;34791035,77000001;6979875,909999997;0;0;0
20003;COORDENACAO DA ADMINISTRACAO FINANCEIRA-CAF;17039080,67;12329831,670000004;13285753,430000003;13729798,300000006;17282777,3;23021424,920000006
24001;ADMINISTRACAO SUPERIOR SECRETARIA E SEDE;0,0;1037799,62;17968784,02;0,0;0;0
27001;MINISTERIO PUBLICO;141703125,03;135314708,03000003;180132948,12000006;171415746,08999994;239470321,02000013;209331052,81000006
18004;POLICIA MILITAR DO ESTADO DE SAO PAULO;269699980,70000166;554046808,7700007;610238091,8699993;621839701,3400002;895091701,8899944;1244939533,849999
9002;COORD. DE REGIOES DE SAUDE;55607908,38999995;76885037,98000017;198181138,1699999;157513579,2900003;388546011,9099995;168445769,40000024
35006;COORDENADORIA DE ADMIN.DE FUNDOS E CONVENIOS;89465,45000000001;89533,79000000001;103651,91000000002;122402,29;149677,81;145208,15000000002
9011;CONSELHO ADMINISTRATIVO DO FESIMA;0;0,0;1957673,0;1106627,03;1588853,5;1091805,0
8003;DEPARTAMENTO DE SUPRIMENTO ESCOLAR;41226621,379999995;22248401,530000005;56523743,16999999;27670,31;360594,76;0
35004;COORDENADORIA DE GESTAO ESTRATEGICA;867806,0;65760,47;619645,4500000001;256306,13999999998;151682,73;135247,96
43066;FACULD.MEDICINA S.JOSE DO RIO PRETO - FAMERP;1452863,7400000002;1311492,8599999999;0,0;0,0;0,0;0
43058;UNIVERSIDADE DE SAO PAULO - USP;1073422219,6000004;1474303994,8500016;0,0;0,0;1626375226,26;0
47001;SEC.EST.DIREITOS PESSOA COM DEFICIENCIA;3361149,9499999993;17525761,160000004;11467182,860000005;20990908,04;15246992,43;96525938,31
17046;FUNDACAO DE PROT. E DEF. DO CONSUMIDOR-PROCO;3600989,9500000007;3432610,2699999996;3799587,7800000003;4494266,3;4769584,2700000005;5334641,690000001
23045;FUND.CENT.EDUC.REC.E ESPORTIVO TRAB.-CERET;175857,38;0;0;0;0;0
29094;CIA.PAULISTA DE EVENTOS E TURISMO - CPETUR;0,0;590217,1;0;0;0;0
35003;COORDENADORIA DE ACAO SOCIAL;1286084,9599999993;1209463,89;2900060,6599999997;1618181,3499999994;1705280,3400000012;1762218,8200000008
29045;FUNDACAO PREFEITO FARIA LIMA-CEPAM;9041249,09;1653221,8399999996;2005673,7199999995;2466461,8699999996;2026247,5600000003;2071546,3300000003
20001;ADMINISTRACAO SUPERIOR SECRETARIA E SEDE;676670271,8000001;42111566,22;392133300,28999996;15163736,459999999;395747160,48999995;128323144,2
9010;COOR.GESTÃO DE CONTRATOS DE SERVIÇOS DE SAUD;20255293,25;30349932,230000004;5399053,6899999995;87760334,68;219094041,33;3333740,3600000003
20058;INST.DE PAGAMENTOS ESPECIAIS DE S.P.- IPESP;5734464,029999999;12043009,610000001;28148861,120000005;31476256,55999999;39884340,88999999;2909756,889999999
18007;SUPERINTEND.POLICIA TECNICO-CIENTIFICA;23362059,630000003;29683325,430000003;27797632,05999999;50705085,52999999;49497059,37;47738474,42
39055;DEPTO.DE AGUAS E ENERGIA ELETRICA-DAEE;57280463,810000025;123683585,92000002;138320883,68999988;169342556,85;191636350,79999998;172882548,32
29001;SECRETARIA DE PLANEJAMENTO E GESTAO;288153976,56000006;281038887,8999999;290281687,29000014;141270889,29999995;189830870,55999988;76996636,9
6001;TRIBUNAL DE JUSTICA MILITAR;4096943,17;5688890,6;4362739,66;3716524,53;6157526,9;5558103,970000001
10065;FACULDADE DE MEDICINA DE MARILIA;4202,22;0,0;6960189,550000001;9890809,170000002;7398794,010000001;7921147,35
10006;JUNTA COMERCIAL DO ESTADO DE SAO PAULO;0;0,0;5987233,14;2455824,6000000006;0;0
28058;AGENCIA METROPOLITANA BAIXADA SANTISTA-AGEM;0;0;0;0;0,0;249267,39
18058;CAIXA BENEFICENTE DA POLICIA MILITAR;2840774,539999999;2688576,909999999;2318221,2700000005;2542299,8000000007;17535298,98;19995117,69
26045;FUNDACAO P/CONSERV.E PRODUCAO FLORESTAL SP;16122743,129999992;9906052,359999998;15856304,120000003;12262518,209999999;21465748,430000003;13996344,269999992
38003;COORD.UNID.PRISIONAIS REG.MRTROPOLITANA  S.P;40263137,35000002;49480231,80999997;60049654,48000005;50287100,19999994;68491148,63999994;68686245,54000005
8001;ADMINISTRACAO SUPERIOR SECRETARIA E SEDE;833668701,43;645853287,1899997;1087128330,2600007;2460748026,3799973;2928616458,7699943;1928293629,6600003
35007;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL-FEAS;40046760,03;65104380,43999997;83553550,21000002;133505813,09999993;54509325,93000006;25944870,739999987
23055;SUPERINT.TRAB.ARTESANAL COMUNID.-SUTACO;666026,2400000002;228205,41;583159,1199999998;211563,22999999992;110830,14;0
37002;ESTRADA DE FERRO CAMPOS DO JORDAO;0;0,0;2904528,6400000006;3885252,91;5174237,720000002;12119396,959999999
46001;SECRETARIA DE RELAÇOES INSTITUCIONAIS;2481690,1199999996;1750810,2799999998;0,0;0;0;0
44001;SECRETARIA DE GESTAO PUBLICA;31327042,56000001;33525232,72999998;56474647,370000005;69238944,26000002;72415973,41;81011722,31999998
35008;COORDENADORIA DE DESENVOLVIMENTO SOCIAL;51618,6;53226,11;170005,7;70417,74999999999;79485,43000000001;68095,21
8009;COORDENADORIA DE GESTAO DE RECURSOS HUMANOS;9206696,81;11948498,55;5845894,610000001;52562031,970000006;87040202,41999999;56120634,620000005
20065;SAO PAULO PREVIDENCIA - SPPREV;1497712076,720001;285488925,3899999;342107848,9499997;409254960,58;2693615889,2799983;2070397478,7100015
20007;COORD.PLANEJ.ESTRAT.MODERNIZ.FAZENDARIA-CPM;31230742,499999996;34619411,39000002;74886498,3;51611077,949999996;68387757,05999997;49066490,259999976
38007;COORD.UNID.PRISIONAIS DA REG.OESTE DO ESTADO;29800328,580000024;31241799,649999943;40106156,20999991;41714954,34999993;52953511,840000026;55900328,06999995
41003;COORDENADORIA DE TURISMO;1311937,1099999999;350327,45;38720,07;0;0;0
21004;REGIME ESPECIAL DE PRECATORIO;0;0,0;619844014,9900001;174067681,72;64345628,92;95631456,39
9009;COORD.DE CIENCIA,TEC.E INS. ESTRAT.SAUDE;369952963,0999999;156276057,42999998;1417120,1099999996;38839282,75000001;262852253,6200002;75872344,04000007
13002;COORD.DE ASSISTENCIA TECNICA INTEGRAL;11847971,169999985;12808282,440000003;11689053,190000005;13718676,33999999;19530750,140000004;19005475,33999999
50001;ADMINISTRAÇAO SUP. DA SECRETARIA E DA SEDE;0;0,0;95799877,06000002;67979180,78000002;117647149,49;157328414,64000002
51003;CASA MILITAR;0;0;0;0;0;0,0
43001;SECRETARIA DE ENSINO SUPERIOR;29154965,4;19427567,94000001;9471204,7;0,0;0,0;0
8010;ESCOLA FORM.APERF.PROF.E.S.P.PAULO R.C.SOUZA;0,0;14684489,850000001;23607150,120000005;23350286,89;15414947,269999998;4939053,539999999
17048;FUND.CTO.AT.SOCIOEDUC.ADOLESC.-FUND.CASA S.P;70542444,62;63228437,170000024;47599971,57000003;60107716,65000008;103179529,4100001;108466117,25999983
49001;SECRETARIA DE ENERGIA;0;0,0;1621182,4600000002;1982402,74;2540362,2599999993;0
21001;SERVICO DA DIVIDA PUBLICA;0,0;0,0;890987877,46;944845744,4000001;1071201340,61;1187231544,6100001
10063;CENTRO EST.EDUC.TECNOLOG.PAULA SOUZA-CEETEPS;308039497,2000002;361208776,1500005;404349945,4600004;201179190,88999996;430446391,6900002;315545561,46000016
