CODIGO UNIDADE ORCAMENTARIA;NOME UNIDADE ORCAMENTARIA;2010;2011;2012;2013;2014;2015
10066;FACULDADE DE MEDICINA DE SAO JOSE DO R. PRET;0;44088798,950000025;50012181,96999999;53060322,220000006;56374580,930000015;62017687,87000003
39001;SECRETARIA DE SANEAMENTO E RECURSOS HIDRICOS;242161849,36999983;218562306,79;185074311,2199999;144602335,95000026;174088647,05000016;283783380,05
48056;AGENCIA METROPOLITANA DE CAMPINAS-AGEMCAMP;0;6891253,769999997;6280542,129999998;6482852,980000001;0,0;0
8012;COORD.INF.MONITORAMENTO AVALIACAO EDUCACIONA;0;0;143092963,51;288689734,8800002;373243233,4799999;300583599,92999995
9056;HOSPITAL DAS CLINICAS FAC. MEDICINA RIB PRET;280219070,3100001;299683435,1300003;331617926,4300003;405332487,1400012;467743535,36999995;460671596,3900002
29057;DEPARTAMENTO ESTADUAL DE TRANSITO-DETRAN-SP;0;0;0;343033534,90999997;517158974,3399995;612226861,0299999
41004;ESTRADA DE FERRO CAMPOS DO JORDAO;6560039,250000007;62169,18000000001;0,0;0,0;0;0
8046;FUNDACAO  PARA O DESENVOLVIMENTO DA EDUCACAO;89663780,47999997;81175876,17;89546277,27999993;421127233,13999945;1238720921,0400069;851556003,9499986
16001;ADMINISTRACAO SUP.DA SECRETARIA E DA SEDE;234881213,04999992;86415253,34000006;64410704,75999999;70400995,01999997;238865117,16999993;135514988,57000005
45001;SECRETARIA DE COMUNICAÇAO;117575922,62;1891457,0799999998;0,0;0;0;0
28059;AGENCIA METROPOLITANA DE CAMPINAS-AGEMCAMP;0;0;0;0;6569015,92;2219745,240000001
26001;SECRETARIA DO MEIO AMBIENTE;255365006,73999977;180811524,6599999;233992887,40000018;249699675,0500002;337329419,76999974;317318185,4900004
10058;UNIVERSIDADE DE SAO PAULO - USP;0,0;1826401563,5800116;2530885101,2400055;3072582647,900029;2946116878,480004;3825687441,6300325
18002;POLICIA CIVIL DO ESTADO DE SAO PAULO;2191232577,470002;2281588851,0899925;2572527868,4700255;2855558214,089984;3187906063,4800105;3551653045,959992
8008;COORD.ESTUDOS E NORMAS PEDAGOGICAS;207392358,55999994;93454115,99999997;0,0;0,0;0,0;0,0
12046;FUNDACAO MEMORIAL DA AMERICA LATINA;0;13389110,409999993;14053455,75;16742361,999999996;17813993,050000012;17842047,349999998
38045;FUND.PROF.DR.MANOEL PEDRO PIMENTEL-FUNAP;43040616,609999955;44124230,04999999;45011652,61999997;51089457,339999944;61523017,01;57001280,459999904
9001;ADMINISTRACAO SUPERIOR SECRETARIA E SEDE;1684830996,9700274;2271070404,2500954;2342891705,430035;2056783089,3899946;3194445452,4000072;4554581927,65
51002;CASA CIVIL;0;0;0;0;0;145084572,5900001
28003;CASA MILITAR;33044645,310000014;22288109,729999993;19781771,43999999;18226594,22;20354385,139999993;0,0
10091;INST.PESQUISAS TECN.EST.DE S.P.S/A-IPT;135594068,43999988;134248371,54999986;137069193,7500001;160040029,69999987;170092381,1200002;172994243,58999994
21003;ENCARGOS GERAIS DE PESSOAL;1010963303,9199995;1174161421,0800006;1181765716,3700004;1327863611,4399984;1270950428,6300008;1328028076,8499994
44047;FUNDAÇAO DESENVOLV.ADMINISTRATIVO - FUNDAP;207589025,21999845;244667458,56999972;195819656,30000004;170209320,30999988;222412439,19999984;0,0
16056;DEPARTAMENTO AEROVIARIO DO ESTADO DE SP-DAES;50034770,01;58771053,32999998;104721777,84999998;73858459,96999998;78080286,58999997;92066668,03
38006;COORD.UNID.PRISIONAIS REG.NOROESTE DO ESTADO;327186041,49000025;372215923,86000097;442420761,1099998;499199510,13000077;576679646,9000175;653362398,2600015
29055;AGENCIA METROPOLIT.DA BAIXADA SANTISTA-AGEM;2347210,06;3301,54;0;0;0;0
29049;FUNDAP - FUND. DESENV. ADMINISTRATIVO;0;0;0;0;0;142861196,36999997
20055;BOLSA OFICIAL DE CAFE E MERCADORIAS DE SANTO;0,0;0;0;0;0;0
28092;EMPRESA PAULISTA DE PLANEJ.METROPOLITANO S.A;0;0;0;0;39469740,84;13078856,929999998
16002;DEPARTAMENTO HIDROVIARIO;13075939,50999999;13806964,789999986;23326019,899999972;20696457,639999993;44668201,60999996;60858175,839999974
20002;COORDENADORIA DA ADMINISTRACAO TRIBUTARIA-CA;1195166705,7299988;1361402765,7599983;1355192852,6900003;1474732365,3800013;1455768344,679992;1669303558,6899927
21002;ENCARGOS GERAIS DO ESTADO;27925579881,179996;30937350416,459995;33272370693,410004;36802888101,75001;37713244447,90002;39485205392,289986
10067;JUNTA COMERCIAL DO ESTADO DE SAO PAULO-JUCES;0;0;358736,15;26799081,82;35292985,379999995;44568059,49999997
43065;FACULDADE DE MEDICINA DE MARILIA - FAMEMA;46661703,7400001;2478455,48;0,0;0,0;0,0;0
24004;ESTRADA DE FERRO CAMPOS DO JORDAO;0,0;0,0;0;0;0;0
35009;COORD. DE SEGURANCA ALIMENTAR E NUTRICIONAL;0;0;211890577,30999982;235017850,87999988;262129355,19000012;252905167,43
8011;COORDENADORIA DE GESTAO DA EDUCACAO BASICA;0;0;159875892,03000018;388722882,34999985;336910280,76000005;249776050,03999993
29002;DEPARTAMENTO ESTADUAL DE TRANSITO-DETRAN;0;0;73520755,21;30397,82;0,0;0
3001;TRIBUNAL DE JUSTICA;5003958582,059997;5661370000,459999;6873089832,219975;7631245991,779982;8269172199,060012;9165825146,040016
17001;SEC. DA JUSTIÇA E DA DEFESA DA CIDADANIA;106278906,04999992;120632396,25000004;116026801,41000007;129433651,64999987;161170511,32000008;161365692,64999995
9007;COORD. DE CONTROLE DE DOENCAS;258167570,9300004;266259569,0799998;297271286,0799999;296550995,50000066;294024960,4200002;293143909,8599999
18005;CORPO DE BOMBEIROS;36686112,20999998;26091056,220000017;29688252,729999978;32431913,11999999;46867963,91000015;76817538,08999978
37001;ADMINISTRACAO SUPERIOR DA SEC. E DA SEDE;2914610547,7400002;1817888391,6999998;1911453582,3000002;3264648960,6300015;5110642360,480003;4836196509,690003
43059;UNIVERSIDADE ESTADUAL DE CAMPINAS-UNICAMP;1087273484,3499973;0,0;0,0;0;0,0;0
29058;IAMSPE - INST.ASSIST.MEDICA SERV.PUBL.ESTAD.;0;0;0;0;0;1108392640,3799987
12001;SECRETARIA DA CULTURA;495049105,3900001;481122072,6199999;508672365,61999965;585274913,9000001;642047070,2000008;559195171,439999
10059;UNIVERSIDADE ESTADUAL DE CAMPINAS - UNICAMP;0;1150818949,3200006;1173248250,1400023;1369714607,2699978;2193868325,929999;2538186123,9399924
26004;COORD.DE PLANEJ.AMB.ESTRAT.E ED.AMBIENTAL;0,0;0;0;0;0;0
38008;COORDENADORIA DE SAUDE DO SIST.PENITENCIARIO;31280959,919999983;33242281,209999993;45238255,23;59526138,88000004;127366706,52000003;78263408,20999992
9055;SUPERINTENDENCIA DE CONTROLE ENDEMIAS-SUCEN;48454287,39999997;50679648,20999996;51845786,53000005;54296675,180000134;57737514,18000001;71181977,29999992
44002;DEPARTAMENTO ESTADUAL DE TRANSITO - DETRAN;0;81454015,10000005;187663323,15999997;0,0;0,0;0
18003;DEPARTAMENTO ESTADUAL DE TRANSITO;222639560,57999998;183959262,79999998;0,0;0;0;0
20003;COORDENACAO DA ADMINISTRACAO FINANCEIRA-CAF;75949159,91999991;74634821,04000002;79147827,70000002;74943471,24999997;84738977,77000006;92272500,82
24001;ADMINISTRACAO SUPERIOR SECRETARIA E SEDE;0,0;0,0;0,0;0,0;0;0
27001;MINISTERIO PUBLICO;1184497749,290001;1259907828,6599987;1373981018,1799986;1445199347,9699993;1587817104,8199995;1787837039,0699985
18004;POLICIA MILITAR DO ESTADO DE SAO PAULO;6790013012,319972;7824374222,879994;9640065088,109951;10017467486,25992;11310983152,569946;12007444969,070013
9002;COORD. DE REGIOES DE SAUDE;3244325209,9599957;3442782914,4800115;4045653826,8300366;4228777384,6600385;4990666501,240095;3993406088,6999183
35006;COORDENADORIA DE ADMIN.DE FUNDOS E CONVENIOS;1259905,2000000002;1231178,0500000003;1679805,4200000002;1811468,4699999995;1898763,2399999998;2580456,19
9011;CONSELHO ADMINISTRATIVO DO FESIMA;0;2805548,5999999996;7942493,82;6080830,49;5734587,18;6203407,44
8003;DEPARTAMENTO DE SUPRIMENTO ESCOLAR;250195408,38000026;286560800,0799997;0,0;0,0;0,0;0
35004;COORDENADORIA DE GESTAO ESTRATEGICA;1417906,38;888343,0899999995;1395892,21;1423483,7999999998;1409158,8599999996;1345046,0299999998
43066;FACULD.MEDICINA S.JOSE DO RIO PRETO - FAMERP;44498556,69999998;2445790,79;0,0;0,0;0,0;0
